case_id,outcome
10009138,0
10051383,1
10053042,0
10083315,0
10093171,0
10128431,0
10153084,0
10154600,0
10186016,0
10186644,0
10292508,0
10294414,0
10295206,0
10297111,0
10333518,0
10339356,0
10342607,0
10361639,0
10368001,1
10432793,0
10434329,0
10443842,0
10457489,0
10492879,0
10497848,0
10499998,0
10501095,0
10542627,0
10547191,0
10548783,0
10549639,0
10563369,0
10564529,0
10593326,0
10621018,0
10658101,0
10658878,0
10667547,0
10678601,0
10680228,0
10721050,1
10729965,0
10785146,0
10786320,0
10788794,0
10845919,0
10853127,0
10880883,0
10882557,0
10883461,0
10885734,0
10896735,0
10906419,0
10909487,0
10914682,0
10917408,0
10922143,0
10948750,0
10949790,1
10958968,0
10963040,0
10965702,1
10984450,0
10996067,0
10997930,0
11031897,0
11032730,1
11044389,0
11080766,0
11090471,0
11092833,0
11156570,0
11175470,0
11179969,0
11203549,0
11206781,0
11210950,0
11214970,0
11215986,0
11217514,0
11246177,0
11247144,0
11248492,0
11276025,0
11288632,1
11315741,0
11318823,0
11319620,0
11332348,1
11483837,0
11510141,0
11514392,1
11553586,0
11556826,0
11563660,0
11579112,0
11585113,0
11587185,0
11588105,0
11590099,0
11593238,1
11662273,0
11672705,0
11717156,0
11722708,0
11740586,0
11741491,0
11742935,0
11746282,0
11773351,0
11776149,0
11778258,0
11782352,0
11798638,0
11800377,0
11903517,0
11907102,0
11908759,0
11942572,0
11984428,0
12001876,0
12004820,0
12009101,0
12026796,0
12034946,1
12088688,0
12093942,0
12095288,0
12095533,0
12097890,0
12112495,0
12114492,0
12122647,1
12181116,0
12189089,0
12228074,0
12237927,0
12336689,0
12341499,0
12349956,0
12460352,0
12462194,0
12467162,0
12491915,0
12515664,0
12517999,0
12536197,0
12539803,0
12543359,0
12550928,0
12566305,0
12589627,0
12592359,0
12593329,0
12594261,0
12594996,0
12615754,0
12621803,0
12626041,0
12626231,0
12638851,0
12645853,0
12662262,0
12663845,0
12687734,0
12689191,0
12744703,0
12747066,0
12748452,0
12751727,1
12761395,0
12784487,0
12789816,0
12790913,0
12791802,0
12812467,0
12814085,0
12814326,0
12904946,0
12907069,0
12936380,0
12993808,0
12998180,0
12999831,1
13055065,0
13060554,0
13063833,0
13090033,0
13094767,0
13097569,1
13109180,0
13113275,0
13155051,0
13160265,0
13166580,1
2742737,1
2760925,1
2771451,1
2782209,1
2783345,1
2794023,1
2797217,1
2799076,1
2802160,1
2814003,1
2817543,1
2824783,1
2825088,1
2830183,1
2831567,1
2832460,1
2833073,1
2838476,1
2839858,1
2840219,1
2840553,1
2846764,1
2847199,1
2847603,1
2848063,1
2851738,1
2852274,1
2854000,1
2857143,1
2866083,1
2868276,1
2868714,1
2871542,1
2872584,1
2873491,1
2874224,1
2875758,1
2876753,1
2879904,1
2883285,1
2884070,1
2887729,1
2887943,1
2890437,1
2891205,1
2891719,1
2899336,1
2900428,1
2901823,1
2902319,1
2902671,1
2904023,1
2911919,1
2917203,1
2917783,1
2928203,1
2929114,1
2931527,1
2937163,1
2937457,1
2938665,1
2941603,1
2946363,1
2952306,1
2953434,1
2955625,1
2956643,1
2958289,1
2959106,1
2959723,1
2961386,1
