case_id,outcome
173688,Other
173691,Other
173694,Other
173697,Declined
173700,Declined
173703,Cancelled
173706,Declined
173709,Cancelled
173712,Cancelled
173715,Declined
173718,Other
173721,Declined
173724,Declined
173727,Declined
173730,Approved
173733,Declined
173736,Other
173739,Other
173742,Declined
173745,Cancelled
173748,Declined
173751,Approved
173754,Declined
173757,Declined
173760,Other
173763,Declined
173766,Cancelled
173769,Declined
173772,Declined
173775,Declined
173778,Declined
173781,Declined
173784,Other
173787,Cancelled
173790,Other
173793,Approved
173796,Cancelled
173799,Declined
173802,Declined
173805,Cancelled
173808,Declined
173811,Cancelled
173814,Declined
173817,Declined
173820,Declined
173823,Declined
173826,Declined
173829,Declined
173832,Declined
173835,Cancelled
173838,Declined
173841,Cancelled
173844,Other
173847,Declined
173850,Declined
173853,Declined
173856,Declined
173859,Cancelled
173862,Declined
173865,Declined
173868,Declined
173871,Declined
173874,Declined
173877,Declined
173880,Other
173883,Declined
173886,Declined
173889,Declined
173892,Declined
173895,Declined
173898,Cancelled
173901,Declined
173904,Declined
173907,Declined
173910,Declined
173913,Other
173916,Declined
173919,Cancelled
173922,Declined
173925,Declined
173928,Other
173931,Declined
173934,Declined
173937,Cancelled
173940,Other
173943,Cancelled
173946,Cancelled
173949,Declined
173952,Declined
173955,Other
173958,Cancelled
173961,Declined
173964,Cancelled
173979,Other
173982,Cancelled
173985,Declined
173988,Cancelled
173991,Declined
173994,Declined
173997,Cancelled
174000,Cancelled
174003,Declined
174006,Declined
174009,Declined
174012,Cancelled
174015,Declined
174018,Cancelled
174021,Declined
174024,Declined
174027,Declined
174030,Cancelled
174033,Declined
174036,Other
174039,Other
174042,Other
174045,Other
174048,Declined
174051,Declined
174054,Declined
174057,Declined
174060,Other
174063,Declined
174066,Declined
174069,Declined
174072,Declined
174075,Declined
174078,Approved
174081,Declined
174084,Other
174087,Other
174090,Cancelled
174093,Cancelled
174096,Approved
174099,Other
174102,Declined
174105,Approved
174108,Declined
174111,Cancelled
174114,Declined
174117,Declined
174120,Cancelled
174123,Declined
174126,Declined
174129,Declined
174132,Other
174135,Declined
174138,Cancelled
174141,Other
174144,Other
174147,Cancelled
174150,Cancelled
174153,Declined
174156,Declined
174159,Cancelled
174162,Declined
174165,Declined
174168,Cancelled
174171,Declined
174174,Declined
174177,Cancelled
174180,Cancelled
174183,Declined
174186,Declined
174189,Declined
174192,Declined
174195,Cancelled
174198,Cancelled
174201,Declined
174204,Declined
174207,Declined
174210,Declined
174213,Cancelled
174216,Other
174219,Declined
174222,Declined
174225,Declined
174228,Declined
174231,Cancelled
174234,Declined
174237,Declined
174240,Declined
174243,Declined
174246,Declined
174249,Declined
174252,Other
174255,Other
174258,Declined
174261,Declined
174264,Other
174267,Declined
174270,Cancelled
174273,Declined
174276,Declined
174279,Cancelled
174282,Declined
174285,Approved
174288,Cancelled
174291,Cancelled
174294,Cancelled
174297,Declined
174300,Declined
174303,Declined
174319,Other
174322,Cancelled
174325,Other
