case_id,outcome
173688,Accepted
173691,Accepted
173694,Accepted
173715,Declined
173718,Accepted
173721,Declined
173730,Accepted
173736,Accepted
173739,Accepted
173745,Cancelled
173748,Declined
173751,Accepted
173760,Accepted
173784,Accepted
173787,Cancelled
173790,Accepted
173793,Accepted
173796,Cancelled
173805,Cancelled
173811,Cancelled
173817,Declined
173823,Declined
173835,Cancelled
173844,Accepted
173847,Declined
173859,Cancelled
173868,Declined
173871,Declined
173880,Accepted
173898,Cancelled
173913,Accepted
173928,Accepted
173940,Accepted
173943,Cancelled
173946,Cancelled
173949,Declined
173955,Accepted
173979,Accepted
173982,Cancelled
173985,Declined
173988,Cancelled
173997,Cancelled
174000,Cancelled
174009,Declined
174012,Cancelled
174018,Cancelled
174030,Cancelled
174036,Accepted
174039,Accepted
174042,Accepted
174045,Accepted
174060,Accepted
174069,Declined
174078,Accepted
174084,Accepted
174087,Accepted
174093,Cancelled
174096,Accepted
174099,Accepted
174105,Accepted
174132,Accepted
174141,Accepted
174144,Accepted
174153,Declined
174159,Cancelled
174168,Cancelled
174180,Cancelled
174216,Accepted
174231,Cancelled
174237,Declined
174252,Accepted
174255,Accepted
174261,Declined
174264,Accepted
174270,Cancelled
174279,Cancelled
174285,Accepted
174291,Cancelled
174294,Cancelled
174319,Accepted
174322,Cancelled
174325,Accepted
174334,Accepted
174337,Accepted
174343,Accepted
174349,Cancelled
174358,Declined
174367,Cancelled
174379,Cancelled
174382,Accepted
174385,Accepted
174388,Declined
174394,Declined
174397,Declined
174403,Declined
174406,Cancelled
174409,Accepted
174415,Accepted
174418,Declined
174424,Accepted
174430,Accepted
174436,Declined
174448,Accepted
174463,Accepted
174469,Declined
174478,Accepted
174487,Accepted
174493,Cancelled
174502,Accepted
174505,Accepted
174508,Declined
174511,Accepted
174517,Cancelled
174529,Declined
174535,Accepted
174538,Accepted
174541,Cancelled
174547,Cancelled
174559,Declined
174562,Accepted
174565,Cancelled
174568,Cancelled
174571,Cancelled
174577,Accepted
174602,Accepted
174605,Accepted
174614,Cancelled
174620,Accepted
174629,Accepted
174635,Accepted
174638,Cancelled
174644,Cancelled
174650,Accepted
174653,Accepted
174656,Declined
174659,Accepted
174671,Cancelled
174686,Accepted
174695,Cancelled
174707,Declined
174719,Accepted
174722,Accepted
174737,Cancelled
174740,Cancelled
174749,Accepted
174752,Accepted
174758,Accepted
174761,Accepted
174764,Accepted
174773,Accepted
174779,Accepted
174785,Declined
174800,Declined
174815,Accepted
174818,Cancelled
174824,Accepted
174827,Cancelled
174845,Accepted
174848,Declined
174851,Accepted
174863,Accepted
174872,Declined
174875,Accepted
174878,Accepted
174881,Cancelled
174884,Cancelled
174896,Accepted
174905,Declined
174911,Accepted
174914,Cancelled
174917,Cancelled
174920,Declined
174923,Accepted
174926,Accepted
174929,Accepted
174935,Accepted
174938,Accepted
174944,Accepted
174947,Cancelled
174953,Accepted
174959,Cancelled
174962,Accepted
174965,Accepted
174968,Accepted
174979,Cancelled
174985,Cancelled
175015,Cancelled
175018,Declined
175027,Accepted
175039,Cancelled
175045,Declined
175054,Accepted
175060,Accepted
175078,Declined
175081,Declined
175093,Declined
175099,Accepted
175105,Accepted
175114,Accepted
175141,Cancelled
175147,Accepted
175153,Accepted
175162,Declined
175177,Accepted
175180,Accepted
175183,Accepted
175192,Accepted
175195,Cancelled
175204,Accepted
175231,Cancelled
175234,Cancelled
175239,Cancelled
175248,Accepted
175251,Cancelled
175254,Cancelled
175263,Cancelled
175266,Accepted
175275,Cancelled
175278,Cancelled
175281,Accepted
175287,Declined
175293,Accepted
175302,Accepted
175305,Declined
175311,Accepted
175323,Accepted
175329,Accepted
175332,Cancelled
175335,Accepted
175338,Cancelled
175344,Accepted
175347,Accepted
175353,Declined
175365,Cancelled
175374,Declined
175377,Accepted
175383,Accepted
175386,Cancelled
175392,Accepted
175395,Cancelled
175407,Accepted
175410,Accepted
175413,Cancelled
175419,Cancelled
175425,Accepted
175428,Cancelled
175434,Cancelled
175437,Accepted
175455,Declined
175485,Accepted
175491,Accepted
175494,Declined
175497,Accepted
175525,Cancelled
175528,Cancelled
175534,Cancelled
175543,Accepted
175546,Accepted
175549,Accepted
175552,Declined
175567,Accepted
175573,Cancelled
175582,Accepted
175585,Accepted
175591,Cancelled
175597,Declined
175600,Cancelled
175606,Accepted
175615,Cancelled
175624,Accepted
175627,Accepted
175651,Declined
175657,Accepted
175669,Cancelled
175672,Cancelled
175684,Accepted
175687,Cancelled
175690,Cancelled
175693,Cancelled
175699,Cancelled
175720,Cancelled
175726,Cancelled
175735,Accepted
175741,Accepted
175756,Accepted
175774,Cancelled
175780,Cancelled
175789,Cancelled
175792,Cancelled
175798,Accepted
175801,Accepted
175804,Cancelled
175807,Cancelled
175813,Declined
175822,Accepted
175825,Declined
175834,Accepted
175843,Accepted
175859,Accepted
175883,Cancelled
175892,Accepted
175907,Declined
175910,Cancelled
175913,Cancelled
175937,Cancelled
175958,Declined
175973,Accepted
175976,Cancelled
175991,Declined
175994,Declined
