case_id,outcome
173688,Completed
173691,Completed
173694,Completed
173703,Completed
173706,Completed
173709,Completed
173712,Completed
173715,Completed
173718,Completed
173721,Completed
173724,Completed
173730,Completed
173733,Other
173736,Completed
173739,Completed
173742,Completed
173745,Completed
173748,Completed
173751,Completed
173754,Completed
173760,Completed
173763,Other
173766,Completed
173775,Completed
173778,Other
173781,Completed
173784,Completed
173787,Completed
173790,Completed
173793,Completed
173796,Completed
173799,Completed
173802,Other
173805,Completed
173811,Completed
173814,Completed
173817,Completed
173823,Completed
173826,Completed
173829,Completed
173835,Completed
173841,Completed
173844,Completed
173847,Completed
173856,Other
173859,Completed
173862,Other
173868,Completed
173871,Completed
173880,Completed
173889,Other
173898,Completed
173901,Other
173904,Other
173913,Completed
173916,Other
173919,Completed
173925,Completed
173928,Completed
173934,Other
173937,Completed
173940,Completed
173943,Completed
173946,Completed
173949,Completed
173955,Completed
173958,Completed
173961,Other
173964,Completed
173979,Completed
173982,Completed
173985,Completed
173988,Completed
173997,Completed
174000,Completed
174006,Other
174009,Completed
174012,Completed
174015,Other
174018,Completed
174021,Other
174024,Completed
174027,Other
174030,Completed
174036,Completed
174039,Completed
174042,Completed
174045,Completed
174048,Completed
174051,Other
174060,Completed
174069,Completed
174072,Other
174075,Other
174078,Completed
174084,Completed
174087,Completed
174090,Completed
174093,Completed
174096,Completed
174099,Completed
174102,Completed
174105,Completed
174111,Completed
174114,Other
174117,Other
174120,Completed
174123,Other
174126,Other
174129,Other
174132,Completed
174135,Other
174138,Completed
174141,Completed
174144,Completed
174147,Completed
174150,Completed
174153,Completed
174159,Completed
174162,Other
174168,Completed
174177,Completed
174180,Completed
174186,Completed
174195,Completed
174198,Completed
174201,Completed
174204,Other
174207,Completed
174213,Completed
174216,Completed
174219,Completed
174228,Other
174231,Completed
174234,Other
174237,Completed
174240,Completed
174243,Completed
174246,Other
174249,Completed
174252,Completed
174255,Completed
174258,Completed
174261,Completed
174264,Completed
174270,Completed
174273,Other
174279,Completed
174282,Other
174285,Completed
174288,Completed
174291,Completed
174294,Completed
174297,Completed
174300,Other
174303,Completed
174319,Completed
174322,Completed
174325,Completed
174331,Completed
174334,Completed
174337,Completed
174343,Completed
174346,Other
174349,Completed
174352,Other
174355,Other
174358,Completed
174361,Completed
174364,Other
174367,Completed
174376,Other
174379,Completed
174382,Completed
174385,Completed
174388,Completed
174394,Completed
174397,Completed
174400,Completed
174403,Completed
174406,Completed
174409,Completed
174415,Completed
174418,Completed
174421,Completed
174424,Completed
174430,Completed
174433,Completed
174436,Completed
174442,Other
174445,Completed
174448,Completed
174451,Completed
174457,Completed
174463,Completed
174469,Completed
174472,Other
174475,Completed
174478,Completed
174481,Completed
174484,Completed
174487,Completed
174490,Completed
174493,Completed
174496,Completed
174499,Other
