case_id,outcome
10358444,No violation
11269753,No violation
11666570,No violation
12421232,No violation
12592056,No violation
12610928,No violation
12984815,No violation
13945854,No violation
13946856,No violation
13968144,No violation
15073705,No violation
15283187,No violation
16399925,No violation
16407460,No violation
16589504,No violation
16609162,No violation
16789201,No violation
16796450,No violation
17031584,No violation
17935284,No violation
17936924,No violation
17939005,No violation
19080404,No violation
19472044,No violation
19476632,No violation
19827252,No violation
19827989,No violation
19830478,No violation
19834032,No violation
19834965,No violation
19836934,No violation
19838656,No violation
19844185,No violation
19848392,No violation
19850415,No violation
19851001,No violation
19851499,No violation
19852674,No violation
19854636,No violation
19857332,No violation
19857827,No violation
19858791,No violation
19862852,No violation
19864873,No violation
19869512,No violation
19869999,No violation
19870968,No violation
19876797,No violation
19877267,No violation
19880932,No violation
19881234,No violation
19881888,No violation
19885592,No violation
19888509,No violation
19894642,No violation
19895164,No violation
19895665,No violation
19896225,No violation
19898154,No violation
19898960,No violation
19900433,No violation
19902301,No violation
19907537,No violation
19909151,No violation
19913620,No violation
19914076,No violation
19914886,No violation
19916050,No violation
19916874,No violation
19922669,No violation
19923564,No violation
19924145,No violation
19940265,No violation
19944358,No violation
19945218,No violation
19946771,No violation
19949940,No violation
19957748,No violation
19964512,No violation
19967408,No violation
19967889,No violation
19982328,No violation
19986592,No violation
19992408,No violation
19994152,No violation
19995133,No violation
19998352,No violation
19998886,No violation
19999413,No violation
20002849,No violation
20006152,No violation
20011716,No violation
20012797,No violation
20013481,No violation
20014377,No violation
20025552,No violation
20032079,No violation
20033815,No violation
20039622,No violation
20040129,No violation
20047765,No violation
20048915,No violation
20051132,No violation
20053116,No violation
20053995,No violation
20056721,No violation
20057660,No violation
20059183,No violation
20061890,No violation
20063170,No violation
20097281,No violation
20098000,No violation
20099111,No violation
20109590,No violation
20110772,No violation
20111304,No violation
20118446,No violation
20139363,No violation
20141211,No violation
20141864,No violation
20142447,No violation
20143097,No violation
20143770,No violation
20145881,No violation
20146478,No violation
20147017,No violation
20156286,No violation
20157373,No violation
20160669,No violation
20161843,No violation
20164902,No violation
20167674,No violation
20168331,No violation
20176586,No violation
20177144,No violation
20196365,No violation
20197876,No violation
20202381,No violation
20209887,No violation
20210375,No violation
20210954,No violation
20211448,No violation
20212271,No violation
20219061,No violation
20221521,No violation
20227082,No violation
20227699,No violation
20230468,No violation
20231202,No violation
20234832,No violation
20235405,No violation
20254293,No violation
20256140,No violation
20265688,No violation
20271322,No violation
20278447,No violation
20283318,No violation
20283893,No violation
20284044,No violation
20284125,No violation
20286000,No violation
20291469,No violation
20296721,No violation
20309364,No violation
20310111,No violation
20314148,No violation
20315165,No violation
20321005,No violation
20331442,No violation
20351242,No violation
20355633,No violation
20362302,No violation
20366503,No violation
20367773,No violation
20370224,No violation
20375644,No violation
20382769,No violation
20390722,No violation
20395152,No violation
20439566,No violation
20441867,No violation
20446785,No violation
20464163,No violation
20464723,No violation
20465281,No violation
20466285,No violation
20466862,No violation
20467946,No violation
20469938,No violation
20489075,No violation
20492568,No violation
20493305,No violation
20493872,No violation
20501170,No violation
20502898,No violation
20515254,No violation
20527688,No violation
20528315,No violation
20531559,No violation
20552647,No violation
20586681,Violation
20619211,No violation
20631577,No violation
20644952,Violation
20653406,Violation
20691801,No violation
20701985,Violation
20703269,Violation
20709490,No violation
20712011,No violation
20724824,No violation
20734417,No violation
20739108,No violation
20740216,Violation
20741700,No violation
20742337,Violation
20748080,No violation
20749337,No violation
20749943,No violation
20750550,Violation
20751126,Violation
20769003,No violation
20769622,No violation
20778724,No violation
20779327,No violation
20780610,No violation
20788337,No violation
20795536,No violation
20800232,Violation
20808757,No violation
20814523,No violation
20815288,Violation
20815822,Violation
20816316,Violation
20824575,No violation
20825648,No violation
20830093,No violation
20830676,No violation
20831204,No violation
20831746,No violation
20832724,No violation
20842778,Violation
20849755,No violation
20882212,No violation
20886924,Violation
20888077,Violation
20893651,No violation
20894232,Violation
20900420,No violation
20914607,No violation
20923903,No violation
20927678,No violation
20930456,No violation
20939008,No violation
20968926,Violation
20977984,No violation
21009356,Violation
21011855,No violation
21032754,No violation
21035560,Violation
21037286,Violation
21037791,Violation
21038392,Violation
21056322,No violation
21081169,No violation
21110509,No violation
21122334,No violation
21123643,Violation
21135237,No violation
21176373,No violation
21177260,Violation
21191787,No violation
21199058,Violation
21215202,No violation
21216847,No violation
21226737,No violation
21255443,Violation
21259478,No violation
21268207,No violation
21270769,No violation
21282582,No violation
21283260,No violation
21288044,No violation
21288689,No violation
21289910,No violation
21298018,No violation
21302970,No violation
21304127,No violation
21306641,Violation
21313311,Violation
21351282,No violation
21369324,No violation
21381083,No violation
21399390,No violation
21424555,No violation
21435708,No violation
21456353,No violation
21458097,No violation
21478250,No violation
21495152,No violation
21501006,No violation
21517822,No violation
21549231,No violation
21573264,No violation
21579910,No violation
21589467,No violation
