case_id,outcome
Application_652823628,Accepted
Application_1691306052,Declined
Application_428409768,Cancelled
Application_1746793196,Cancelled
Application_828200680,Cancelled
Application_1085880569,Cancelled
Application_1266995739,Cancelled
Application_1878239836,Declined
Application_619403287,Accepted
Application_1710223761,Cancelled
Application_1529124572,Accepted
Application_387012864,Cancelled
Application_1120819670,Accepted
Application_42838382,Cancelled
Application_180547487,Accepted
Application_1966208034,Cancelled
Application_1806387393,Declined
Application_1111870538,Cancelled
Application_1017492916,Cancelled
Application_2082119944,Accepted
Application_758985626,Accepted
Application_1018615109,Cancelled
Application_319587802,Declined
Application_1846626914,Accepted
Application_546206358,Declined
Application_196483749,Cancelled
Application_1363980603,Cancelled
Application_1553362978,Cancelled
Application_1197857445,Cancelled
Application_931862671,Cancelled
Application_2012588584,Cancelled
Application_1825972191,Cancelled
Application_1059184025,Cancelled
Application_1395142997,Accepted
Application_2015287405,Cancelled
Application_1193723578,Declined
Application_2049529862,Accepted
Application_1699757505,Cancelled
Application_493034835,Accepted
Application_842511489,Accepted
Application_1474017032,Cancelled
Application_1397856354,Cancelled
Application_767475240,Cancelled
Application_980495316,Accepted
Application_2035768049,Accepted
Application_1307111345,Accepted
Application_821425679,Accepted
Application_1294530310,Accepted
Application_470922426,Accepted
Application_1461440233,Cancelled
Application_857715587,Cancelled
Application_351152063,Accepted
Application_1547844908,Cancelled
Application_2055987002,Accepted
Application_1118236712,Cancelled
Application_1234535641,Cancelled
Application_1898882436,Accepted
Application_2113276114,Accepted
Application_1603124379,Cancelled
Application_2110144842,Cancelled
Application_486645986,Cancelled
Application_587387633,Accepted
Application_901793095,Accepted
Application_340403559,Cancelled
Application_1825104006,Cancelled
Application_1530322400,Cancelled
Application_593655901,Cancelled
Application_1535675187,Accepted
Application_1767756144,Cancelled
Application_1405679737,Cancelled
Application_446334558,Cancelled
Application_130460765,Cancelled
Application_1300843234,Declined
Application_1588619628,Cancelled
Application_505474597,Cancelled
Application_1765204099,Cancelled
Application_1624825294,Cancelled
Application_1448214642,Cancelled
Application_987262285,Declined
Application_1845547664,Cancelled
Application_1947648225,Cancelled
Application_1130101747,Accepted
Application_798605556,Cancelled
Application_2062932311,Accepted
Application_430902047,Accepted
Application_1370588808,Cancelled
Application_163777174,Accepted
Application_909491524,Accepted
Application_396349881,Declined
Application_930742634,Cancelled
Application_2068443797,Cancelled
Application_354702724,Cancelled
Application_1357431492,Cancelled
Application_584603670,Accepted
Application_807916303,Cancelled
Application_283012951,Accepted
Application_1876456626,Cancelled
Application_178025821,Cancelled
Application_813133375,Cancelled
Application_268676496,Cancelled
Application_1870161219,Accepted
Application_1723779444,Cancelled
Application_1339153511,Accepted
Application_1754646859,Cancelled
Application_2002564265,Cancelled
Application_1304234740,Cancelled
Application_58755651,Declined
Application_93597308,Cancelled
Application_774787486,Declined
Application_1660185664,Accepted
Application_2105878744,Accepted
Application_1446096185,Cancelled
Application_675073178,Accepted
Application_952532843,Cancelled
Application_914660918,Declined
Application_167944225,Declined
Application_1962860870,Cancelled
Application_1696031128,Declined
Application_803879893,Accepted
Application_1886382319,Cancelled
Application_1250134245,Cancelled
Application_1044610848,Accepted
Application_1999238509,Accepted
Application_854524772,Accepted
Application_927205634,Cancelled
Application_484278024,Cancelled
Application_1674281629,Cancelled
Application_299986859,Accepted
Application_1374020543,Accepted
Application_1252717204,Cancelled
Application_24648067,Accepted
Application_1823402778,Cancelled
Application_2108937169,Accepted
Application_895241174,Cancelled
Application_1290239114,Accepted
Application_1787371920,Accepted
Application_1471099537,Cancelled
Application_37839400,Accepted
Application_1128910355,Cancelled
Application_54405635,Cancelled
Application_395903076,Accepted
Application_1859638703,Cancelled
Application_1101997724,Cancelled
Application_74505494,Cancelled
Application_525275343,Declined
Application_106973225,Cancelled
Application_1315608886,Accepted
Application_1538441067,Cancelled
Application_822724921,Cancelled
Application_2040511284,Cancelled
Application_1754943309,Cancelled
Application_323012882,Accepted
Application_347136910,Accepted
Application_1432907447,Accepted
Application_1004303396,Accepted
Application_1096831814,Cancelled
Application_1068218912,Cancelled
Application_709929024,Cancelled
Application_347787380,Cancelled
Application_1546754076,Accepted
Application_1365381023,Cancelled
Application_1981969728,Accepted
Application_665878125,Cancelled
Application_1044911465,Cancelled
Application_1613424593,Cancelled
Application_862160604,Cancelled
Application_60181210,Accepted
Application_369018038,Cancelled
Application_920048730,Cancelled
Application_220402598,Cancelled
Application_1947668470,Accepted
Application_1301925609,Accepted
Application_2070389081,Declined
Application_864903752,Declined
Application_1159653941,Cancelled
Application_663648942,Cancelled
Application_1616009132,Accepted
Application_53530491,Accepted
Application_1953406738,Cancelled
Application_1413308979,Cancelled
Application_1308403282,Cancelled
Application_212010049,Accepted
Application_1946680177,Accepted
Application_948316229,Cancelled
Application_1138826038,Accepted
Application_369105792,Cancelled
Application_1998350808,Cancelled
Application_1301009504,Cancelled
Application_547462088,Cancelled
Application_223366470,Cancelled
Application_1130151790,Cancelled
Application_1791187926,Cancelled
Application_421364849,Accepted
Application_1268592022,Cancelled
Application_1955353500,Accepted
Application_485131054,Declined
Application_1979402314,Cancelled
Application_1723028098,Declined
Application_1946236735,Accepted
Application_1428307326,Accepted
Application_1310063638,Declined
Application_1499869275,Cancelled
Application_1141114991,Declined
Application_918770224,Cancelled
Application_1016816804,Accepted
Application_1650844500,Accepted
Application_1854801140,Cancelled
Application_2078020265,Declined
Application_567907480,Accepted
Application_748088065,Accepted
Application_572814439,Cancelled
Application_256650628,Accepted
Application_1151254747,Cancelled
Application_972938507,Cancelled
Application_360475310,Accepted
Application_19324985,Cancelled
Application_1643165806,Declined
Application_418070482,Cancelled
Application_1248349972,Cancelled
Application_923963777,Accepted
Application_1746133767,Accepted
Application_920497952,Cancelled
Application_886515262,Cancelled
Application_416441220,Cancelled
Application_1975617123,Cancelled
Application_726777197,Cancelled
Application_275597794,Cancelled
Application_153538723,Cancelled
Application_368205428,Cancelled
Application_923808413,Accepted
Application_1933550065,Cancelled
Application_854409161,Cancelled
Application_346636726,Cancelled
Application_1420077883,Cancelled
Application_236257423,Cancelled
Application_1892186837,Declined
Application_438518989,Cancelled
Application_788421650,Cancelled
Application_1447851462,Declined
Application_664267418,Cancelled
Application_2118101879,Accepted
Application_1259601023,Cancelled
Application_969058358,Declined
Application_29490720,Accepted
Application_193978070,Accepted
Application_1916415976,Accepted
Application_1267839101,Accepted
Application_1101248362,Cancelled
Application_1800870760,Cancelled
Application_1484851617,Cancelled
Application_402039661,Declined
Application_1494501575,Accepted
Application_1675166178,Accepted
Application_297421946,Accepted
Application_920229339,Accepted
Application_562322973,Cancelled
Application_722397148,Cancelled
Application_1645236489,Cancelled
Application_1868808301,Cancelled
Application_1702060008,Accepted
Application_2059945768,Accepted
Application_2115613475,Cancelled
Application_409724822,Cancelled
Application_788960916,Cancelled
Application_1807951250,Accepted
Application_944177310,Cancelled
Application_1277100580,Accepted
Application_1943199357,Accepted
Application_1462709587,Accepted
Application_1911804233,Cancelled
Application_1195396325,Accepted
Application_1274070913,Cancelled
Application_503966930,Accepted
Application_1362293013,Cancelled
Application_866541745,Cancelled
Application_200000547,Cancelled
Application_948906324,Accepted
Application_1172125329,Declined
Application_1931792282,Declined
Application_275338795,Accepted
Application_243636886,Cancelled
Application_1838732360,Cancelled
Application_125495187,Declined
Application_2006366791,Cancelled
Application_1930449097,Cancelled
Application_1640008006,Accepted
Application_1281827491,Accepted
Application_1854554571,Accepted
Application_13372270,Accepted
Application_1492351094,Cancelled
Application_675506291,Accepted
Application_898874076,Cancelled
Application_1251541081,Cancelled
Application_1853222107,Declined
Application_1629784556,Cancelled
Application_190984886,Cancelled
Application_911291915,Cancelled
Application_1179942266,Accepted
Application_1807570830,Accepted
Application_88479581,Accepted
Application_804815556,Cancelled
Application_1669670154,Accepted
Application_1231177181,Cancelled
Application_989064530,Accepted
Application_2063036518,Accepted
Application_1174199914,Accepted
Application_1891076145,Accepted
Application_1226577675,Accepted
Application_987213908,Declined
Application_373612346,Accepted
Application_678686961,Cancelled
Application_1247929652,Accepted
Application_1880024094,Cancelled
Application_829714042,Accepted
Application_111956933,Cancelled
Application_1922956945,Cancelled
Application_1562741414,Accepted
Application_983392205,Cancelled
Application_929235447,Cancelled
Application_2012524282,Accepted
Application_874857207,Cancelled
Application_74089970,Declined
Application_1291947335,Declined
Application_1559270931,Accepted
Application_2003843374,Declined
Application_493812399,Accepted
Application_144264435,Accepted
Application_2005183817,Cancelled
Application_606090913,Cancelled
Application_1377264777,Accepted
Application_1052983039,Accepted
Application_1363165385,Cancelled
Application_1426271838,Accepted
Application_1537110918,Accepted
Application_1313879847,Cancelled
Application_162342266,Accepted
Application_2039499576,Accepted
Application_1326688469,Cancelled
Application_1549864001,Cancelled
Application_466958327,Accepted
Application_232465255,Accepted
Application_664361440,Cancelled
Application_1508103415,Accepted
Application_1747572025,Cancelled
Application_1302654957,Cancelled
Application_2120232738,Cancelled
Application_1930715945,Cancelled
Application_1439119047,Accepted
Application_807098596,Declined
Application_1295329022,Cancelled
Application_1699815319,Accepted
Application_1498056352,Cancelled
Application_743887463,Cancelled
Application_1173759169,Cancelled
Application_2092350091,Cancelled
Application_1979284304,Accepted
Application_297491355,Accepted
Application_1204730406,Accepted
Application_1634651522,Cancelled
Application_1470184564,Declined
Application_1944285638,Declined
Application_836161395,Accepted
Application_1945220465,Cancelled
Application_1764180224,Cancelled
Application_1898813636,Cancelled
Application_681276588,Cancelled
Application_365416480,Cancelled
Application_1312956122,Cancelled
Application_1403474196,Accepted
Application_1195697898,Cancelled
Application_1014301064,Declined
Application_242156921,Accepted
Application_2034562541,Accepted
Application_1553446113,Cancelled
Application_443070493,Cancelled
Application_1417516413,Cancelled
Application_1649139732,Cancelled
Application_289811958,Accepted
Application_341998174,Cancelled
Application_879749975,Cancelled
Application_59959307,Accepted
Application_2103337476,Cancelled
Application_1833362956,Cancelled
Application_750571787,Accepted
Application_1513129576,Accepted
Application_1091101077,Cancelled
Application_1899463053,Cancelled
Application_1853330214,Accepted
Application_1271512732,Cancelled
Application_1502516207,Declined
Application_22095206,Cancelled
Application_1631137033,Cancelled
Application_1142700916,Cancelled
Application_2078253178,Accepted
Application_1724196691,Cancelled
Application_1139007530,Accepted
Application_784275418,Cancelled
Application_1771304108,Declined
Application_259183799,Cancelled
Application_2081147987,Declined
Application_1282765506,Cancelled
Application_259143826,Cancelled
Application_1462703151,Declined
Application_1905015342,Cancelled
Application_1841789315,Accepted
Application_2072694343,Cancelled
Application_1316947913,Cancelled
Application_1282768200,Cancelled
Application_1848603655,Cancelled
Application_2065677935,Accepted
Application_775833032,Cancelled
Application_1719274647,Accepted
Application_1863611182,Cancelled
Application_1600150028,Declined
Application_1292397670,Accepted
Application_2081911804,Cancelled
Application_335096189,Accepted
Application_111540759,Cancelled
Application_524429786,Declined
Application_1355798622,Cancelled
Application_854402455,Cancelled
Application_1077411737,Accepted
Application_1283783929,Cancelled
Application_854178970,Cancelled
Application_1507218840,Cancelled
Application_543915014,Accepted
Application_1940130892,Cancelled
Application_2139889803,Accepted
Application_918578724,Cancelled
Application_843590096,Accepted
Application_220286199,Accepted
Application_5240566,Declined
Application_919767326,Accepted
Application_123754331,Accepted
Application_1368129455,Accepted
Application_2063334713,Accepted
Application_402170266,Cancelled
Application_339079436,Accepted
Application_1296151288,Accepted
Application_1476922534,Cancelled
Application_2144860637,Accepted
Application_1089454,Cancelled
Application_1938300690,Declined
Application_2032309445,Cancelled
Application_385432676,Cancelled
Application_1926826475,Cancelled
Application_1274270315,Accepted
Application_1692006952,Accepted
Application_769217696,Accepted
Application_994471234,Accepted
Application_1902262189,Accepted
Application_1562990453,Accepted
Application_1468021532,Declined
Application_1152306667,Accepted
Application_584603030,Declined
Application_1903580067,Declined
Application_2033211562,Cancelled
Application_838952120,Accepted
Application_243155734,Accepted
Application_63970219,Cancelled
Application_346329864,Accepted
Application_1779355171,Accepted
Application_1436618564,Cancelled
Application_1060570579,Cancelled
Application_344339957,Accepted
Application_669100042,Accepted
Application_1832254057,Accepted
Application_1719978147,Accepted
Application_637491144,Cancelled
Application_768179563,Cancelled
Application_316292435,Declined
Application_1833979489,Cancelled
Application_1386615618,Cancelled
Application_224343695,Accepted
Application_1072003198,Cancelled
Application_368633868,Accepted
Application_1493542155,Cancelled
Application_1708364219,Accepted
Application_1506426720,Accepted
Application_208148111,Cancelled
Application_953392572,Declined
Application_1616900126,Cancelled
Application_7078377,Accepted
Application_1191743894,Accepted
Application_570561205,Accepted
Application_1221068482,Declined
Application_1004293292,Accepted
Application_662386389,Cancelled
Application_119348284,Accepted
Application_1238272674,Accepted
Application_888479862,Cancelled
Application_1277569989,Cancelled
Application_408645375,Accepted
Application_1955246402,Declined
Application_1740302556,Cancelled
Application_122336824,Cancelled
Application_505823301,Declined
Application_1688279534,Cancelled
Application_1848036697,Accepted
Application_1786874274,Accepted
Application_1589119859,Cancelled
Application_265587905,Cancelled
Application_1624036826,Cancelled
Application_1662197696,Accepted
Application_1548782450,Accepted
Application_660784718,Accepted
Application_234080274,Cancelled
Application_124239405,Accepted
Application_1859043344,Cancelled
Application_2040345264,Accepted
Application_1661120161,Accepted
Application_855486492,Accepted
Application_1235595897,Cancelled
Application_244579239,Accepted
Application_1814433442,Declined
Application_597160934,Declined
Application_1976912656,Cancelled
Application_296295477,Cancelled
Application_28217916,Cancelled
Application_275531167,Cancelled
Application_1029986710,Declined
Application_1617180019,Cancelled
Application_1832081539,Cancelled
Application_1250825577,Accepted
Application_1164977817,Accepted
Application_1962066192,Cancelled
Application_1747078975,Cancelled
Application_83337214,Accepted
Application_131619654,Accepted
Application_314744124,Accepted
Application_1434477082,Declined
