case_id,outcome
declaration 86791,Payment Handled
declaration 86795,Payment Handled
declaration 86800,Payment Handled
declaration 86731,Payment Handled
declaration 86735,Payment Handled
declaration 86805,Payment Handled
declaration 86809,Payment Handled
declaration 86816,Payment Handled
declaration 86716,Payment Handled
declaration 86720,Payment Handled
declaration 86820,Payment Handled
declaration 86824,Payment Handled
declaration 86828,Payment Handled
declaration 86739,Payment Handled
declaration 86746,Payment Handled
declaration 86750,Other
declaration 86752,Payment Handled
declaration 86756,Payment Handled
declaration 86832,Payment Handled
declaration 86836,Payment Handled
declaration 86760,Payment Handled
declaration 86764,Payment Handled
declaration 86771,Payment Handled
declaration 86840,Payment Handled
declaration 86776,Payment Handled
declaration 86783,Payment Handled
declaration 86847,Payment Handled
declaration 86851,Payment Handled
declaration 86572,Payment Handled
declaration 86576,Payment Handled
declaration 86855,Payment Handled
declaration 86859,Payment Handled
declaration 86863,Payment Handled
declaration 86867,Payment Handled
declaration 86871,Payment Handled
declaration 86580,Payment Handled
declaration 86584,Payment Handled
declaration 86875,Payment Handled
declaration 86588,Payment Handled
declaration 86592,Payment Handled
declaration 86880,Payment Handled
declaration 86884,Payment Handled
declaration 86888,Payment Handled
declaration 86596,Payment Handled
declaration 86600,Payment Handled
declaration 86604,Payment Handled
declaration 86702,Other
declaration 86708,Payment Handled
declaration 86615,Payment Handled
declaration 86620,Payment Handled
declaration 86632,Payment Handled
declaration 86641,Payment Handled
declaration 86646,Payment Handled
declaration 86650,Payment Handled
declaration 86654,Payment Handled
declaration 86658,Payment Handled
declaration 86662,Other
declaration 86664,Payment Handled
declaration 86668,Payment Handled
declaration 86672,Payment Handled
declaration 86677,Payment Handled
declaration 86681,Payment Handled
declaration 86685,Payment Handled
declaration 86689,Payment Handled
declaration 86693,Payment Handled
declaration 90824,Payment Handled
declaration 93588,Payment Handled
declaration 91295,Payment Handled
declaration 89290,Payment Handled
declaration 93592,Payment Handled
declaration 89421,Payment Handled
declaration 88710,Payment Handled
declaration 93602,Payment Handled
declaration 89393,Payment Handled
declaration 89397,Payment Handled
declaration 88822,Payment Handled
declaration 89425,Payment Handled
declaration 94736,Payment Handled
declaration 89220,Payment Handled
declaration 88427,Payment Handled
declaration 90090,Payment Handled
declaration 94895,Payment Handled
declaration 90912,Payment Handled
declaration 90919,Payment Handled
declaration 90923,Payment Handled
declaration 88932,Payment Handled
declaration 89401,Payment Handled
declaration 95235,Payment Handled
declaration 94740,Payment Handled
declaration 92482,Payment Handled
declaration 90094,Rejected
declaration 88826,Payment Handled
declaration 88830,Payment Handled
declaration 88834,Rejected
declaration 88714,Payment Handled
declaration 88936,Payment Handled
declaration 89453,Payment Handled
declaration 94744,Payment Handled
declaration 88940,Payment Handled
declaration 94899,Payment Handled
declaration 94903,Payment Handled
declaration 92486,Payment Handled
declaration 93453,Payment Handled
declaration 94907,Payment Handled
declaration 89338,Payment Handled
declaration 89342,Payment Handled
declaration 93457,Rejected
declaration 90829,Payment Handled
declaration 88944,Payment Handled
declaration 89346,Payment Handled
declaration 88718,Payment Handled
declaration 89351,Payment Handled
declaration 91299,Payment Handled
declaration 94748,Payment Handled
declaration 89356,Payment Handled
declaration 88948,Payment Handled
declaration 91303,Payment Handled
declaration 88179,Payment Handled
declaration 88453,Payment Handled
declaration 90928,Payment Handled
declaration 89247,Payment Handled
declaration 88072,Rejected
declaration 93809,Payment Handled
declaration 91307,Payment Handled
declaration 93461,Payment Handled
declaration 88457,Payment Handled
declaration 88188,Payment Handled
declaration 89297,Payment Handled
declaration 89301,Payment Handled
declaration 88461,Payment Handled
declaration 93606,Payment Handled
declaration 89225,Payment Handled
declaration 88722,Payment Handled
declaration 89360,Payment Handled
declaration 89524,Payment Handled
declaration 89309,Payment Handled
declaration 95239,Payment Handled
declaration 89229,Payment Handled
declaration 89364,Payment Handled
declaration 93466,Payment Handled
declaration 95243,Payment Handled
declaration 90098,Payment Handled
declaration 90106,Payment Handled
declaration 88952,Payment Handled
declaration 88192,Payment Handled
declaration 88196,Payment Handled
declaration 88726,Rejected
declaration 94911,Payment Handled
declaration 89692,Payment Handled
declaration 89405,Payment Handled
declaration 89368,Payment Handled
declaration 89485,Payment Handled
declaration 89372,Payment Handled
declaration 90933,Payment Handled
declaration 88838,Payment Handled
declaration 93471,Payment Handled
declaration 88842,Payment Handled
declaration 89409,Payment Handled
declaration 92744,Payment Handled
declaration 89233,Payment Handled
declaration 89376,Payment Handled
declaration 91603,Payment Handled
declaration 88956,Payment Handled
declaration 88465,Payment Handled
declaration 88846,Payment Handled
declaration 90833,Payment Handled
declaration 89380,Payment Handled
declaration 93992,Payment Handled
declaration 95247,Payment Handled
declaration 95251,Payment Handled
declaration 89251,Payment Handled
declaration 88469,Payment Handled
declaration 88960,Payment Handled
declaration 88730,Payment Handled
declaration 90110,Payment Handled
declaration 88076,Payment Handled
declaration 88200,Payment Handled
declaration 93476,Payment Handled
declaration 88204,Payment Handled
declaration 94916,Payment Handled
declaration 88734,Payment Handled
declaration 88964,Payment Handled
declaration 92490,Payment Handled
declaration 88850,Payment Handled
declaration 89237,Payment Handled
declaration 88855,Payment Handled
declaration 88080,Payment Handled
declaration 94000,Payment Handled
declaration 88969,Payment Handled
declaration 91312,Payment Handled
declaration 88208,Payment Handled
declaration 94004,Payment Handled
declaration 93813,Payment Handled
declaration 91316,Payment Handled
declaration 90114,Payment Handled
declaration 93480,Payment Handled
declaration 90938,Payment Handled
declaration 89413,Payment Handled
declaration 95255,Payment Handled
declaration 94920,Payment Handled
declaration 89259,Payment Handled
