case_id,outcome
request for payment 73550,Other
request for payment 73552,Other
request for payment 76316,Payment Handled
request for payment 73536,Other
request for payment 185372,Rejected
request for payment 76195,Payment Handled
request for payment 73737,Payment Handled
request for payment 77107,Payment Handled
request for payment 185391,Payment Handled
request for payment 76211,Payment Handled
request for payment 76213,Payment Handled
request for payment 77877,Payment Handled
request for payment 185377,Payment Handled
request for payment 185342,Payment Handled
request for payment 76396,Payment Handled
request for payment 73039,Payment Handled
request for payment 76424,Payment Handled
request for payment 73258,Payment Handled
request for payment 76579,Payment Handled
request for payment 185354,Payment Handled
request for payment 74097,Payment Handled
request for payment 72603,Payment Handled
request for payment 77902,Payment Handled
request for payment 73897,Payment Handled
request for payment 76930,Payment Handled
request for payment 76934,Payment Handled
request for payment 76932,Payment Handled
request for payment 76936,Payment Handled
request for payment 72937,Payment Handled
request for payment 72939,Rejected
request for payment 76710,Payment Handled
request for payment 76712,Payment Handled
request for payment 74133,Payment Handled
request for payment 76972,Payment Handled
request for payment 73932,Payment Handled
request for payment 73955,Payment Handled
request for payment 185385,Payment Handled
request for payment 76613,Other
request for payment 76622,Payment Handled
request for payment 76250,Payment Handled
request for payment 76252,Payment Handled
request for payment 76248,Payment Handled
request for payment 75827,Payment Handled
request for payment 75830,Payment Handled
request for payment 74504,Payment Handled
request for payment 74521,Payment Handled
request for payment 74519,Payment Handled
request for payment 76648,Rejected
request for payment 76650,Payment Handled
request for payment 74547,Payment Handled
request for payment 74020,Payment Handled
request for payment 74017,Payment Handled
request for payment 75931,Payment Handled
request for payment 73308,Payment Handled
request for payment 73190,Payment Handled
request for payment 73192,Payment Handled
request for payment 75959,Payment Handled
request for payment 75961,Payment Handled
request for payment 73216,Payment Handled
request for payment 77824,Payment Handled
request for payment 77284,Payment Handled
request for payment 77286,Rejected
request for payment 74581,Payment Handled
request for payment 74579,Payment Handled
request for payment 73444,Payment Handled
request for payment 74209,Payment Handled
request for payment 76758,Payment Handled
request for payment 74846,Payment Handled
request for payment 74876,Payment Handled
request for payment 75369,Payment Handled
request for payment 75241,Payment Handled
request for payment 74388,Payment Handled
request for payment 72154,Payment Handled
request for payment 72156,Payment Handled
request for payment 73337,Payment Handled
request for payment 73339,Payment Handled
request for payment 185346,Payment Handled
request for payment 72553,Payment Handled
request for payment 76484,Other
request for payment 76482,Other
request for payment 74724,Payment Handled
request for payment 73484,Payment Handled
request for payment 75387,Payment Handled
request for payment 75389,Payment Handled
request for payment 74438,Payment Handled
request for payment 74420,Payment Handled
request for payment 74417,Payment Handled
request for payment 185340,Other
request for payment 74906,Payment Handled
request for payment 74454,Payment Handled
request for payment 74947,Payment Handled
request for payment 77075,Payment Handled
request for payment 77073,Payment Handled
request for payment 71975,Payment Handled
request for payment 71973,Payment Handled
request for payment 71978,Payment Handled
request for payment 76693,Payment Handled
request for payment 73510,Other
request for payment 72009,Payment Handled
request for payment 72006,Payment Handled
request for payment 77547,Payment Handled
request for payment 185368,Payment Handled
request for payment 185350,Payment Handled
request for payment 74787,Payment Handled
request for payment 77914,Payment Handled
request for payment 77953,Payment Handled
