case_id,outcome
A1,Incomplete
A100,Credit Collection
A10000,Repaid
A10001,Repaid
A10004,Credit Collection
A10005,Repaid
A10007,Repaid
A10008,Credit Collection
A10009,Repaid
A1001,Credit Collection
A10010,Credit Collection
A10011,Credit Collection
A10012,Incomplete
A10015,Credit Collection
A10018,Repaid
A10019,Credit Collection
A1002,Credit Collection
A10021,Credit Collection
A10022,Repaid
A10023,Credit Collection
A10024,Repaid
A10025,Credit Collection
A10026,Credit Collection
A10029,Repaid
A10030,Repaid
A10033,Repaid
A10034,Credit Collection
A10041,Incomplete
A10042,Repaid
A10043,Repaid
A10044,Credit Collection
A10045,Incomplete
A10046,Credit Collection
A10047,Repaid
A10049,Repaid
A10050,Credit Collection
A10054,Incomplete
A10056,Repaid
A10059,Repaid
A1006,Repaid
A10060,Repaid
A10061,Repaid
A10063,Credit Collection
A10067,Credit Collection
A10068,Credit Collection
A10069,Repaid
A1007,Repaid
A10071,Credit Collection
A10072,Incomplete
A10074,Incomplete
A10075,Credit Collection
A10076,Repaid
A10077,Incomplete
A10078,Repaid
A10079,Credit Collection
A1008,Incomplete
A10082,Repaid
A10083,Credit Collection
A10085,Repaid
A10089,Repaid
A1009,Credit Collection
A10090,Credit Collection
A10091,Repaid
A10092,Repaid
A10095,Credit Collection
A10097,Repaid
A10099,Repaid
A101,Incomplete
A10101,Credit Collection
A10102,Repaid
A10104,Repaid
A10106,Credit Collection
A10107,Repaid
A10108,Repaid
A10109,Incomplete
A10112,Repaid
A10113,Repaid
A10115,Credit Collection
A10117,Incomplete
A10118,Incomplete
A10119,Incomplete
A10120,Repaid
A10121,Credit Collection
A10122,Repaid
A10124,Repaid
A10125,Repaid
A10126,Credit Collection
A10127,Credit Collection
A1013,Credit Collection
A10130,Repaid
A10131,Credit Collection
A10137,Repaid
A10138,Credit Collection
A10139,Credit Collection
A1014,Credit Collection
A10140,Credit Collection
A10141,Credit Collection
A10143,Repaid
A10144,Repaid
A10147,Credit Collection
A10150,Repaid
A10151,Credit Collection
A10152,Credit Collection
A10153,Credit Collection
A10154,Credit Collection
A10156,Repaid
A10157,Repaid
A10158,Repaid
A10159,Repaid
A1016,Incomplete
A10161,Repaid
A10162,Repaid
A10163,Incomplete
A10164,Credit Collection
A10165,Repaid
A10168,Credit Collection
A1017,Credit Collection
A10171,Credit Collection
A10174,Incomplete
A10175,Repaid
A10177,Incomplete
A10178,Incomplete
A10180,Credit Collection
A10181,Repaid
A10184,Incomplete
A10185,Incomplete
A10186,Repaid
A10187,Incomplete
A10188,Incomplete
A10189,Repaid
A10192,Credit Collection
A10193,Credit Collection
A10194,Repaid
A10195,Repaid
A10196,Credit Collection
A102,Credit Collection
A10203,Repaid
A10205,Credit Collection
A10206,Repaid
A10211,Credit Collection
A10212,Credit Collection
A10213,Credit Collection
A10215,Repaid
A10216,Credit Collection
A10218,Credit Collection
A10220,Incomplete
A10221,Repaid
A10223,Credit Collection
A10224,Credit Collection
A10226,Incomplete
A10228,Incomplete
A10229,Repaid
A10230,Repaid
A10231,Incomplete
A10234,Repaid
A10235,Repaid
A10236,Repaid
A10237,Repaid
A10238,Credit Collection
A10242,Credit Collection
A10243,Repaid
A10245,Incomplete
A10247,Credit Collection
A10249,Repaid
A10250,Repaid
A10251,Incomplete
A10253,Incomplete
A10254,Credit Collection
A10262,Incomplete
A10263,Credit Collection
A10264,Incomplete
A10265,Incomplete
A10266,Credit Collection
A10267,Repaid
A10268,Repaid
A10269,Credit Collection
A10271,Incomplete
A10273,Repaid
A10277,Incomplete
A10280,Incomplete
A10281,Repaid
A10282,Repaid
A10283,Repaid
A10284,Repaid
A10285,Repaid
A10286,Repaid
A10287,Repaid
A10288,Repaid
A10289,Repaid
A10290,Credit Collection
A10291,Incomplete
A10292,Repaid
A10295,Repaid
A10296,Incomplete
A10299,Credit Collection
A103,Credit Collection
A10304,Credit Collection
A10305,Repaid
A10306,Repaid
A10308,Repaid
A10309,Repaid
A10310,Credit Collection
A10311,Credit Collection
A10312,Repaid
A10317,Incomplete
A10318,Repaid
A10319,Credit Collection
A10320,Repaid
A10321,Repaid
A10322,Credit Collection
A10323,Repaid
A10324,Repaid
A10325,Credit Collection
A10326,Repaid
A10328,Repaid
A10331,Credit Collection
A10332,Repaid
A10333,Credit Collection
A10335,Repaid
A10337,Repaid
A10338,Repaid
A10339,Incomplete
A10342,Repaid
A10344,Repaid
A10345,Incomplete
A10349,Credit Collection
A10351,Credit Collection
A10354,Incomplete
A10357,Credit Collection
A10358,Repaid
A10359,Repaid
A10361,Repaid
A10366,Repaid
A10367,Incomplete
A10368,Repaid
A10373,Repaid
A10374,Credit Collection
A10379,Credit Collection
A10381,Repaid
A10382,Repaid
A10383,Repaid
A10384,Credit Collection
A10385,Incomplete
A10386,Repaid
A10388,Credit Collection
A10390,Credit Collection
A10391,Repaid
A10392,Repaid
A10393,Repaid
A10396,Incomplete
A10397,Credit Collection
A10400,Credit Collection
A10401,Repaid
A10402,Incomplete
A10403,Credit Collection
A10404,Credit Collection
A10406,Incomplete
A10407,Incomplete
A10409,Credit Collection
A1041,Credit Collection
A10411,Repaid
A10413,Credit Collection
A10418,Repaid
A1042,Incomplete
A10420,Credit Collection
A10421,Credit Collection
A10422,Credit Collection
A10423,Incomplete
A10425,Credit Collection
A10426,Credit Collection
A10427,Incomplete
A10428,Credit Collection
A10429,Incomplete
A1043,Incomplete
A10430,Credit Collection
A10432,Credit Collection
A10434,Repaid
A10435,Repaid
A10436,Credit Collection
A10437,Credit Collection
A10438,Credit Collection
A1044,Credit Collection
A10442,Credit Collection
A10446,Credit Collection
A10447,Repaid
A10448,Credit Collection
A10449,Incomplete
A1045,Repaid
A10450,Credit Collection
A10452,Incomplete
A10456,Repaid
A10457,Incomplete
A10458,Repaid
A1046,Incomplete
A10461,Credit Collection
A10462,Credit Collection
A10463,Credit Collection
A10465,Repaid
A10466,Credit Collection
A10467,Repaid
A10468,Credit Collection
A1047,Repaid
A10472,Repaid
A10473,Credit Collection
A10474,Repaid
A10475,Credit Collection
A10476,Repaid
A10477,Credit Collection
A10478,Incomplete
A10479,Repaid
A1048,Incomplete
A10480,Credit Collection
A10481,Incomplete
A10482,Incomplete
A10485,Credit Collection
A10486,Credit Collection
A10487,Credit Collection
A10488,Credit Collection
A10489,Repaid
A10490,Repaid
A10492,Credit Collection
A10495,Repaid
A10497,Credit Collection
A10498,Credit Collection
A10499,Repaid
A105,Incomplete
A10500,Incomplete
A10501,Repaid
A10502,Credit Collection
A10503,Repaid
A10505,Credit Collection
A10506,Credit Collection
A10508,Repaid
A10509,Credit Collection
A10512,Repaid
A10513,Incomplete
A10514,Incomplete
A10515,Repaid
A10517,Incomplete
A10519,Repaid
A10521,Incomplete
A10522,Repaid
A10524,Credit Collection
A10526,Incomplete
A10527,Credit Collection
A10528,Repaid
A10531,Incomplete
A10532,Repaid
A10533,Repaid
A10535,Repaid
A10536,Repaid
A10539,Repaid
A10543,Repaid
A10544,Credit Collection
A10545,Repaid
A10546,Repaid
A10547,Credit Collection
A10549,Incomplete
A1055,Repaid
A10550,Repaid
A10552,Credit Collection
A10553,Credit Collection
A10554,Credit Collection
A10555,Repaid
A10556,Incomplete
A10558,Credit Collection
A10559,Credit Collection
A10560,Incomplete
A10561,Repaid
A10563,Credit Collection
A10564,Incomplete
A10565,Credit Collection
A10566,Credit Collection
A10569,Repaid
A1057,Credit Collection
A10570,Incomplete
A10571,Credit Collection
A10572,Incomplete
A10574,Credit Collection
A10577,Credit Collection
A10579,Repaid
A10581,Repaid
A10584,Incomplete
A10585,Credit Collection
A10586,Incomplete
A10588,Repaid
A10589,Credit Collection
A1059,Credit Collection
A10594,Repaid
A10595,Incomplete
A10596,Incomplete
A10597,Repaid
A1060,Incomplete
A10604,Repaid
A10605,Incomplete
A10607,Repaid
A10608,Repaid
A10614,Incomplete
A10615,Repaid
A10618,Repaid
A10619,Repaid
A10620,Credit Collection
A10621,Repaid
A10623,Repaid
A10624,Repaid
A10625,Repaid
A10626,Repaid
A10627,Repaid
A10628,Repaid
A10631,Repaid
A10634,Repaid
A10636,Repaid
A10639,Incomplete
A10640,Repaid
A10641,Repaid
A10646,Repaid
A10648,Repaid
A10649,Credit Collection
A1065,Repaid
A10651,Repaid
A10655,Repaid
A10656,Repaid
A10657,Repaid
A10658,Credit Collection
A10659,Incomplete
A1066,Incomplete
A10660,Credit Collection
A10661,Credit Collection
A10663,Incomplete
A10664,Repaid
A10665,Incomplete
A10667,Credit Collection
A10669,Incomplete
A1067,Repaid
A10670,Credit Collection
A10671,Incomplete
A10672,Credit Collection
A10673,Credit Collection
A10674,Incomplete
A10675,Incomplete
A10679,Credit Collection
A10680,Incomplete
A10681,Credit Collection
A10683,Credit Collection
A10685,Repaid
A10686,Incomplete
A10688,Credit Collection
A10689,Incomplete
A1069,Incomplete
A10690,Incomplete
A10692,Incomplete
A10693,Credit Collection
A10694,Repaid
A10695,Credit Collection
A10697,Incomplete
A10699,Credit Collection
A1070,Credit Collection
A10700,Repaid
A10701,Incomplete
A10702,Credit Collection
A10704,Repaid
A10709,Repaid
A1071,Repaid
A10712,Incomplete
A10714,Repaid
A10715,Incomplete
A10716,Incomplete
A10718,Credit Collection
A10719,Repaid
A1072,Repaid
A10720,Repaid
A10721,Credit Collection
A10725,Repaid
A10728,Credit Collection
A10729,Credit Collection
A10733,Credit Collection
A10734,Credit Collection
A10736,Incomplete
A10737,Incomplete
A10738,Repaid
A10739,Credit Collection
A1074,Repaid
A10740,Repaid
A10741,Repaid
A10742,Credit Collection
A10744,Incomplete
A10745,Incomplete
A10747,Credit Collection
A10750,Credit Collection
A10751,Credit Collection
A10752,Incomplete
A10753,Repaid
A10755,Credit Collection
A10757,Repaid
A10758,Incomplete
A10759,Incomplete
A1076,Repaid
A10761,Incomplete
A10762,Incomplete
A10764,Credit Collection
A10769,Repaid
A1077,Incomplete
A10771,Repaid
A10774,Repaid
A10776,Credit Collection
A10777,Incomplete
A10779,Repaid
A1078,Repaid
A10781,Repaid
A10783,Repaid
A10785,Repaid
A10786,Incomplete
A10788,Incomplete
A10789,Repaid
A1079,Credit Collection
A10790,Incomplete
A10791,Repaid
A10792,Repaid
A10794,Repaid
A10797,Repaid
A10798,Repaid
A10799,Incomplete
A108,Repaid
A1080,Repaid
A10802,Repaid
A10803,Repaid
A10804,Repaid
A10805,Repaid
A10806,Credit Collection
A10809,Repaid
A1081,Incomplete
A10810,Repaid
A10811,Repaid
A10813,Credit Collection
A10814,Repaid
A10816,Credit Collection
A10817,Repaid
A10818,Incomplete
A10819,Repaid
A10820,Credit Collection
A10821,Credit Collection
A10825,Repaid
A10826,Repaid
A10829,Incomplete
A10832,Repaid
A10833,Repaid
A10835,Credit Collection
A10836,Credit Collection
A10838,Incomplete
A10839,Credit Collection
A10840,Repaid
A10844,Incomplete
A10845,Incomplete
A10846,Incomplete
A10847,Repaid
A10850,Repaid
A10851,Incomplete
A10852,Credit Collection
A10853,Credit Collection
A10855,Repaid
A10856,Incomplete
A10858,Repaid
A1086,Repaid
A10863,Repaid
A10867,Repaid
A10868,Repaid
A10869,Incomplete
A10871,Repaid
A10872,Repaid
A10873,Repaid
A10874,Repaid
A10875,Incomplete
A10877,Repaid
A10878,Repaid
A10881,Credit Collection
A10882,Repaid
A10883,Incomplete
A10884,Repaid
A10887,Credit Collection
A1089,Repaid
A10890,Repaid
A10894,Credit Collection
A10896,Incomplete
A10898,Credit Collection
A10902,Credit Collection
A10904,Repaid
A10908,Repaid
A10912,Repaid
A10914,Repaid
A10915,Repaid
A1092,Incomplete
A10921,Repaid
A10922,Incomplete
A10923,Repaid
A10924,Repaid
A10925,Repaid
A10927,Repaid
A10928,Repaid
A10929,Repaid
A1093,Credit Collection
A10931,Repaid
A10934,Repaid
A10937,Credit Collection
A10938,Repaid
A10939,Repaid
A1094,Credit Collection
A10940,Repaid
A10941,Incomplete
A10942,Repaid
A10943,Repaid
A10944,Repaid
A10946,Repaid
A10947,Repaid
A10948,Incomplete
A10949,Credit Collection
A1095,Repaid
A10950,Credit Collection
A10951,Credit Collection
A10954,Repaid
A10956,Incomplete
A10958,Credit Collection
A1096,Credit Collection
A10961,Credit Collection
A10963,Repaid
A10964,Credit Collection
A10965,Incomplete
A10966,Repaid
A10967,Repaid
A1097,Repaid
A10971,Repaid
A10972,Repaid
A10975,Repaid
A10976,Repaid
A10977,Repaid
A10978,Incomplete
A1098,Repaid
A10980,Incomplete
A10981,Repaid
A10985,Credit Collection
A10986,Repaid
A10987,Repaid
A10988,Repaid
A10989,Credit Collection
A10992,Repaid
A10994,Repaid
A10995,Incomplete
A10996,Incomplete
A10998,Credit Collection
A10999,Incomplete
A11,Credit Collection
A11001,Repaid
A11002,Repaid
A11003,Repaid
A11005,Credit Collection
A11006,Credit Collection
A11007,Credit Collection
A11008,Repaid
A1101,Credit Collection
A11010,Credit Collection
A11011,Credit Collection
A11012,Incomplete
A11013,Credit Collection
A11014,Repaid
A11015,Credit Collection
A11016,Credit Collection
A11017,Credit Collection
A11023,Incomplete
A11024,Credit Collection
A11026,Repaid
A11028,Repaid
A11029,Repaid
A11030,Repaid
A11031,Credit Collection
A11032,Repaid
A11037,Repaid
A1104,Repaid
A11042,Incomplete
A11043,Credit Collection
A11046,Repaid
A11048,Repaid
A1105,Repaid
A11051,Incomplete
A11052,Repaid
A11053,Repaid
A11056,Repaid
A11057,Repaid
A11058,Repaid
A11060,Repaid
A11062,Credit Collection
A11064,Repaid
A11065,Repaid
A11066,Incomplete
A11067,Incomplete
A11069,Repaid
A11070,Credit Collection
A11071,Credit Collection
A11072,Repaid
A11074,Repaid
A11075,Credit Collection
A11076,Incomplete
A11078,Repaid
A11079,Repaid
A1108,Incomplete
A11081,Credit Collection
A11082,Repaid
A11083,Repaid
A11084,Repaid
A11085,Incomplete
A11086,Credit Collection
A1109,Repaid
A11091,Repaid
A11094,Repaid
A11096,Repaid
