case_id,outcome
173688,Accepted
173691,Accepted
173694,Accepted
173697,Other
173700,Other
173703,Other
173706,Other
173709,Other
173712,Other
173715,Other
173718,Accepted
173721,Other
173724,Other
173727,Other
173730,Accepted
173733,Other
173736,Accepted
173739,Accepted
173742,Other
173745,Other
173748,Other
173751,Accepted
173754,Other
173757,Other
173760,Accepted
173763,Other
173766,Other
173769,Other
173772,Other
173775,Other
173778,Other
173781,Other
173784,Accepted
173787,Other
173790,Accepted
173793,Accepted
173796,Other
173799,Other
173802,Other
173805,Other
173808,Other
173811,Other
173814,Other
173817,Other
173820,Other
173823,Other
173826,Other
173829,Other
173832,Other
173835,Other
173838,Other
173841,Other
173844,Accepted
173847,Other
173850,Other
173853,Other
173856,Other
173859,Other
173862,Other
173865,Other
173868,Other
173871,Other
173874,Other
173877,Other
173880,Accepted
173883,Other
173886,Other
173889,Other
173892,Other
173895,Other
173898,Other
173901,Other
173904,Other
173907,Other
173910,Other
173913,Accepted
173916,Other
173919,Other
173922,Other
173925,Other
173928,Accepted
173931,Other
173934,Other
173937,Other
173940,Accepted
173943,Other
173946,Other
173949,Other
173952,Other
173955,Accepted
173958,Other
173961,Other
173964,Other
173979,Accepted
173982,Other
173985,Other
173988,Other
173991,Other
173994,Other
173997,Other
174000,Other
174003,Other
174006,Other
174009,Other
174012,Other
174015,Other
174018,Other
174021,Other
174024,Other
174027,Other
174030,Other
174033,Other
174036,Accepted
174039,Accepted
174042,Accepted
174045,Accepted
174048,Other
174051,Other
174054,Other
174057,Other
174060,Accepted
174063,Other
174066,Other
174069,Other
174072,Other
174075,Other
174078,Accepted
174081,Other
174084,Accepted
174087,Accepted
174090,Other
174093,Other
174096,Accepted
174099,Accepted
174102,Other
174105,Accepted
174108,Other
174111,Other
174114,Other
174117,Other
174120,Other
174123,Other
174126,Other
174129,Other
174132,Accepted
174135,Other
174138,Other
174141,Accepted
174144,Accepted
174147,Other
174150,Other
174153,Other
174156,Other
174159,Other
174162,Other
174165,Other
174168,Other
174171,Other
174174,Other
174177,Other
174180,Other
174183,Other
174186,Other
174189,Other
174192,Other
174195,Other
174198,Other
174201,Other
174204,Other
174207,Other
174210,Other
174213,Other
174216,Accepted
174219,Other
174222,Other
174225,Other
174228,Other
174231,Other
174234,Other
174237,Other
174240,Other
174243,Other
174246,Other
174249,Other
174252,Accepted
174255,Accepted
174258,Other
174261,Other
174264,Accepted
174267,Other
174270,Other
174273,Other
174276,Other
174279,Other
174282,Other
174285,Accepted
174288,Other
174291,Other
174294,Other
174297,Other
174300,Other
174303,Other
174319,Accepted
174322,Other
174325,Accepted
174328,Other
174331,Other
174334,Accepted
174337,Accepted
174340,Other
174343,Accepted
174346,Other
174349,Other
174352,Other
174355,Other
174358,Other
174361,Other
174364,Other
174367,Other
174370,Other
174373,Other
174376,Other
174379,Other
174382,Accepted
174385,Accepted
174388,Other
174391,Other
174394,Other
174397,Other
174400,Other
174403,Other
174406,Other
174409,Accepted
174412,Other
174415,Accepted
174418,Other
174421,Other
174424,Accepted
174427,Other
174430,Accepted
174433,Other
174436,Other
174439,Other
174442,Other
174445,Other
174448,Accepted
174451,Other
174454,Other
174457,Other
174460,Other
174463,Accepted
174466,Other
174469,Other
174472,Other
174475,Other
174478,Accepted
174481,Other
174484,Other
174487,Accepted
174490,Other
174493,Other
174496,Other
174499,Other
174502,Accepted
174505,Accepted
174508,Other
174511,Accepted
174514,Other
174517,Other
174520,Other
174523,Other
174526,Other
174529,Other
174532,Other
174535,Accepted
174538,Accepted
174541,Other
174544,Other
174547,Other
174559,Other
174562,Accepted
174565,Other
174568,Other
174571,Other
174574,Other
174577,Accepted
174599,Other
174602,Accepted
174605,Accepted
174608,Other
174611,Other
174614,Other
174617,Other
174620,Accepted
174623,Other
174626,Other
174629,Accepted
174632,Other
174635,Accepted
174638,Other
174641,Other
174644,Other
174647,Other
174650,Accepted
174653,Accepted
174656,Other
174659,Accepted
174662,Other
174665,Other
174668,Other
174671,Other
174674,Other
174677,Other
174680,Other
174683,Other
174686,Accepted
174689,Other
174692,Other
174695,Other
174698,Other
174701,Other
174704,Other
174707,Other
174710,Other
174713,Other
174716,Other
174719,Accepted
174722,Accepted
174725,Other
174728,Other
174731,Other
174734,Other
174737,Other
174740,Other
174743,Other
174746,Other
174749,Accepted
174752,Accepted
174755,Other
174758,Accepted
174761,Accepted
174764,Accepted
174767,Other
174770,Other
174773,Accepted
174776,Other
174779,Accepted
174782,Other
174785,Other
174788,Other
174791,Other
174794,Other
174797,Other
174800,Other
174803,Other
174806,Other
174809,Other
174812,Other
174815,Accepted
174818,Other
174821,Other
174824,Accepted
174827,Other
174830,Other
174833,Other
174836,Other
174839,Other
174842,Other
174845,Accepted
174848,Other
174851,Accepted
174854,Other
174857,Other
174860,Other
174863,Accepted
174866,Other
174869,Other
174872,Other
174875,Accepted
174878,Accepted
174881,Other
174884,Other
174887,Other
174890,Other
174893,Other
174896,Accepted
174899,Other
174902,Other
174905,Other
174908,Other
174911,Accepted
174914,Other
174917,Other
