case_id,outcome
173688,Other
173691,Other
173694,Other
173697,Declined
173700,Declined
173703,Other
173706,Declined
173709,Other
173712,Other
173715,Declined
173718,Other
173721,Declined
173724,Declined
173727,Declined
173730,Other
173733,Declined
173736,Other
173739,Other
173742,Declined
173745,Other
173748,Declined
173751,Other
173754,Declined
173757,Declined
173760,Other
173763,Declined
173766,Other
173769,Declined
173772,Declined
173775,Declined
173778,Declined
173781,Declined
173784,Other
173787,Other
173790,Other
173793,Other
173796,Other
173799,Declined
173802,Declined
173805,Other
173808,Declined
173811,Other
173814,Declined
173817,Declined
173820,Declined
173823,Declined
173826,Declined
173829,Declined
173832,Declined
173835,Other
173838,Declined
173841,Other
173844,Other
173847,Declined
173850,Declined
173853,Declined
173856,Declined
173859,Other
173862,Declined
173865,Declined
173868,Declined
173871,Declined
173874,Declined
173877,Declined
173880,Other
173883,Declined
173886,Declined
173889,Declined
173892,Declined
173895,Declined
173898,Other
173901,Declined
173904,Declined
173907,Declined
173910,Declined
173913,Other
173916,Declined
173919,Other
173922,Declined
173925,Declined
173928,Other
173931,Declined
173934,Declined
173937,Other
173940,Other
173943,Other
173946,Other
173949,Declined
173952,Declined
173955,Other
173958,Other
173961,Declined
173964,Other
173979,Other
173982,Other
173985,Declined
173988,Other
173991,Declined
173994,Declined
173997,Other
174000,Other
174003,Declined
174006,Declined
174009,Declined
174012,Other
174015,Declined
174018,Other
174021,Declined
174024,Declined
174027,Declined
174030,Other
174033,Declined
174036,Other
174039,Other
174042,Other
174045,Other
174048,Declined
174051,Declined
174054,Declined
174057,Declined
174060,Other
174063,Declined
174066,Declined
174069,Declined
174072,Declined
174075,Declined
174078,Other
174081,Declined
174084,Other
174087,Other
174090,Other
174093,Other
174096,Other
174099,Other
174102,Declined
174105,Other
174108,Declined
174111,Other
174114,Declined
174117,Declined
174120,Other
174123,Declined
174126,Declined
174129,Declined
174132,Other
174135,Declined
174138,Other
174141,Other
174144,Other
174147,Other
174150,Other
174153,Declined
174156,Declined
174159,Other
174162,Declined
174165,Declined
174168,Other
174171,Declined
174174,Declined
174177,Other
174180,Other
174183,Declined
174186,Declined
174189,Declined
174192,Declined
174195,Other
174198,Other
174201,Declined
174204,Declined
174207,Declined
174210,Declined
174213,Other
174216,Other
174219,Declined
174222,Declined
174225,Declined
174228,Declined
174231,Other
174234,Declined
174237,Declined
174240,Declined
174243,Declined
174246,Declined
174249,Declined
174252,Other
174255,Other
174258,Declined
174261,Declined
174264,Other
174267,Declined
174270,Other
174273,Declined
174276,Declined
174279,Other
174282,Declined
174285,Other
174288,Other
174291,Other
174294,Other
174297,Declined
174300,Declined
174303,Declined
174319,Other
174322,Other
174325,Other
174328,Declined
174331,Declined
174334,Other
174337,Other
174340,Declined
174343,Other
174346,Declined
174349,Other
174352,Declined
174355,Declined
174358,Declined
174361,Other
174364,Declined
174367,Other
174370,Declined
174373,Declined
174376,Declined
174379,Other
174382,Other
174385,Other
174388,Declined
174391,Declined
