case_id,outcome
173688,Accepted
173691,Accepted
173694,Accepted
173715,Other
173718,Accepted
173721,Other
173730,Accepted
173736,Accepted
173739,Accepted
173745,Other
173748,Other
173751,Accepted
173760,Accepted
173784,Accepted
173787,Other
173790,Accepted
173793,Accepted
173796,Other
173805,Other
173811,Other
173817,Other
173823,Other
173835,Other
173844,Accepted
173847,Other
173859,Other
173868,Other
173871,Other
173880,Accepted
173898,Other
173913,Accepted
173928,Accepted
173940,Accepted
173943,Other
173946,Other
173949,Other
173955,Accepted
173979,Accepted
173982,Other
173985,Other
173988,Other
173997,Other
174000,Other
174009,Other
174012,Other
174018,Other
174030,Other
174036,Accepted
174039,Accepted
174042,Accepted
174045,Accepted
174060,Accepted
174069,Other
174078,Accepted
174084,Accepted
174087,Accepted
174093,Other
174096,Accepted
174099,Accepted
174105,Accepted
174132,Accepted
174141,Accepted
174144,Accepted
174153,Other
174159,Other
174168,Other
174180,Other
174216,Accepted
174231,Other
174237,Other
174252,Accepted
174255,Accepted
174261,Other
174264,Accepted
174270,Other
174279,Other
174285,Accepted
174291,Other
174294,Other
174319,Accepted
174322,Other
174325,Accepted
174334,Accepted
174337,Accepted
174343,Accepted
174349,Other
174358,Other
174367,Other
174379,Other
174382,Accepted
174385,Accepted
174388,Other
174394,Other
174397,Other
174403,Other
174406,Other
174409,Accepted
174415,Accepted
174418,Other
174424,Accepted
174430,Accepted
174436,Other
174448,Accepted
174463,Accepted
174469,Other
174478,Accepted
174487,Accepted
174493,Other
174502,Accepted
174505,Accepted
174508,Other
174511,Accepted
174517,Other
174529,Other
174535,Accepted
174538,Accepted
174541,Other
174547,Other
174559,Other
174562,Accepted
174565,Other
174568,Other
174571,Other
174577,Accepted
174602,Accepted
174605,Accepted
174614,Other
174620,Accepted
174629,Accepted
174635,Accepted
174638,Other
174644,Other
174650,Accepted
174653,Accepted
174656,Other
174659,Accepted
174671,Other
174686,Accepted
174695,Other
174707,Other
174719,Accepted
174722,Accepted
174737,Other
174740,Other
174749,Accepted
174752,Accepted
174758,Accepted
174761,Accepted
174764,Accepted
174773,Accepted
174779,Accepted
174785,Other
174800,Other
174815,Accepted
174818,Other
174824,Accepted
174827,Other
174845,Accepted
174848,Other
174851,Accepted
174863,Accepted
174872,Other
174875,Accepted
174878,Accepted
174881,Other
174884,Other
174896,Accepted
174905,Other
174911,Accepted
174914,Other
174917,Other
174920,Other
174923,Accepted
174926,Accepted
174929,Accepted
174935,Accepted
174938,Accepted
174944,Accepted
174947,Other
174953,Accepted
174959,Other
174962,Accepted
174965,Accepted
174968,Accepted
174979,Other
174985,Other
175015,Other
175018,Other
175027,Accepted
175039,Other
175045,Other
175054,Accepted
175060,Accepted
175078,Other
175081,Other
175093,Other
175099,Accepted
175105,Accepted
175114,Accepted
175141,Other
175147,Accepted
175153,Accepted
175162,Other
175177,Accepted
175180,Accepted
175183,Accepted
175192,Accepted
175195,Other
175204,Accepted
175231,Other
175234,Other
175239,Other
175248,Accepted
175251,Other
175254,Other
175263,Other
175266,Accepted
175275,Other
175278,Other
175281,Accepted
175287,Other
175293,Accepted
175302,Accepted
175305,Other
175311,Accepted
175323,Accepted
175329,Accepted
175332,Other
175335,Accepted
175338,Other
175344,Accepted
175347,Accepted
175353,Other
175365,Other
175374,Other
175377,Accepted
175383,Accepted
175386,Other
175392,Accepted
175395,Other
175407,Accepted
175410,Accepted
175413,Other
175419,Other
175425,Accepted
175428,Other
175434,Other
175437,Accepted
175455,Other
175485,Accepted
175491,Accepted
175494,Other
175497,Accepted
175525,Other
175528,Other
175534,Other
175543,Accepted
175546,Accepted
175549,Accepted
175552,Other
175567,Accepted
175573,Other
175582,Accepted
175585,Accepted
175591,Other
175597,Other
175600,Other
175606,Accepted
175615,Other
175624,Accepted
175627,Accepted
175651,Other
175657,Accepted
175669,Other
175672,Other
175684,Accepted
175687,Other
175690,Other
175693,Other
175699,Other
175720,Other
175726,Other
175735,Accepted
175741,Accepted
175756,Accepted
175774,Other
175780,Other
175789,Other
175792,Other
175798,Accepted
175801,Accepted
175804,Other
175807,Other
175813,Other
175822,Accepted
175825,Other
175834,Accepted
175843,Accepted
175859,Accepted
175883,Other
175892,Accepted
175907,Other
175910,Other
175913,Other
175937,Other
175958,Other
175973,Accepted
175976,Other
175991,Other
175994,Other
175997,Accepted
176000,Other
176012,Other
176015,Other
176021,Accepted
176030,Other
176033,Other
176039,Other
176045,Other
176048,Accepted
176051,Accepted
176060,Other
176063,Accepted
176069,Accepted
176072,Accepted
176081,Other
176087,Accepted
176090,Accepted
176093,Accepted
176105,Other
176119,Accepted
176128,Other
176131,Accepted
176134,Accepted
176137,Accepted
176146,Other
176152,Accepted
176158,Other
176167,Other
176176,Accepted
176179,Other
176182,Other
176185,Other
176188,Other
176203,Other
176218,Accepted
176224,Other
176227,Other
176239,Accepted
176266,Accepted
176269,Other
176275,Accepted
176278,Other
176281,Other
176284,Other
176287,Other
176290,Accepted
176305,Other
176323,Other
176326,Accepted
176332,Other
176345,Other
176368,Other
176371,Other
