case_id,outcome
10358444,Other
11269753,Other
11666570,Other
12421232,Other
12592056,Other
12610928,Other
12984815,Other
13945854,Other
13946856,Other
13968144,Other
15073705,Other
15283187,Other
16399925,Other
16407460,Other
16589504,Other
16609162,Other
16789201,Other
16796450,Other
17031584,Other
17935284,Other
17936924,Other
17939005,Other
19080404,Other
19472044,Other
19476632,Other
19827252,Other
19827989,Other
19830478,Other
19834032,Other
19834965,Other
19836934,Other
19838656,Other
19844185,Other
19848392,Other
19850415,Other
19851001,Other
19851499,Other
19852674,Other
19854636,Other
19857332,Other
19857827,Other
19858791,Other
19862852,Other
19864873,Other
19869512,Other
19869999,Other
19870968,Other
19876797,Other
19877267,Other
19880932,Other
19881234,Other
19881888,Other
19885592,Other
19888509,Other
19894642,Other
19895164,Other
19895665,Other
19896225,Other
19898154,Other
19898960,Other
19900433,Other
19902301,Other
19907537,Other
19909151,Other
19913620,Other
19914076,Other
19914886,Other
19916050,Other
19916874,Other
19922669,Other
19923564,Other
19924145,Other
19940265,Other
19944358,Other
19945218,Other
19946771,Other
19949940,Other
19957748,Other
19964512,Other
19967408,Other
19967889,Other
19982328,Other
19986592,Other
19992408,Other
19994152,Other
19995133,Other
19998352,Other
19998886,Other
19999413,Other
20002849,Other
20006152,Other
20011716,Other
20012797,Other
20013481,Other
20014377,Other
20025552,Other
20032079,Other
20033815,Other
20039622,Other
20040129,Other
20047765,Other
20048915,Other
20051132,Other
20053116,Other
20053995,Other
20056721,Other
20057660,Other
20059183,Other
20061890,Other
20063170,Other
20097281,Other
20098000,Other
20099111,Other
20109590,Other
20110772,Other
20111304,Other
20118446,Other
20139363,Other
20141211,Other
20141864,Other
20142447,Other
20143097,Other
20143770,Other
20145881,Other
20146478,Other
20147017,Other
20156286,Other
20157373,Other
20160669,Other
20161843,Other
20164902,Other
20167674,Other
20168331,Other
20176586,Other
20177144,Other
20196365,Other
20197876,Other
20202381,Other
20209887,Other
20210375,Other
20210954,Other
20211448,Other
20212271,Other
20219061,Other
20221521,Other
20227082,Other
20227699,Other
20230468,Other
20231202,Other
20234832,Other
20235405,Other
20254293,Other
20256140,Other
20265688,Other
20271322,Other
20278447,Other
20283318,Other
20283893,Other
20284044,Other
20284125,Other
20286000,Other
20291469,Other
20296721,Other
20309364,Other
20310111,Other
20314148,Other
20315165,Other
20321005,Other
20331442,Other
20351242,Other
20355633,Other
20362302,Other
20366503,Other
20367773,Other
20370224,Other
20375644,Other
20382769,Other
20390722,Other
20395152,Other
20439566,Other
20441867,Other
20446785,Other
20464163,Other
20464723,Other
20465281,Other
20466285,Other
20466862,Other
20467946,Other
20469938,Other
20489075,Other
20492568,Other
20493305,Other
20493872,Other
20501170,Other
20502898,Other
20515254,Other
20527688,Other
20528315,Other
20531559,Other
20552647,Other
20586681,Violation
20619211,Other
20631577,Other
20644952,Violation
20653406,Violation
20691801,Other
20701985,Violation
20703269,Violation
20709490,Other
20712011,Other
20724824,Other
20734417,Other
20739108,Other
20740216,Violation
20741700,Other
20742337,Violation
20748080,Other
20749337,Other
20749943,Other
