case_id,outcome
declaration 86791,1
declaration 86795,1
declaration 86800,1
declaration 86731,1
declaration 86735,1
declaration 86805,1
declaration 86809,1
declaration 86816,1
declaration 86716,1
declaration 86720,1
declaration 86820,1
declaration 86824,1
declaration 86828,1
declaration 86739,1
declaration 86746,1
declaration 86750,0
declaration 86752,1
declaration 86756,1
declaration 86832,1
declaration 86836,1
declaration 86760,1
declaration 86764,1
declaration 86771,1
declaration 86840,1
declaration 86776,1
declaration 86783,1
declaration 86847,1
declaration 86851,1
declaration 86572,1
declaration 86576,1
declaration 86855,1
declaration 86859,1
declaration 86863,1
declaration 86867,1
declaration 86871,1
declaration 86580,1
declaration 86584,1
declaration 86875,1
declaration 86588,1
declaration 86592,1
declaration 86880,1
declaration 86884,1
declaration 86888,1
declaration 86596,1
declaration 86600,1
declaration 86604,1
declaration 86702,0
declaration 86708,1
declaration 86615,1
declaration 86620,1
declaration 86632,1
declaration 86641,1
declaration 86646,1
declaration 86650,1
declaration 86654,1
declaration 86658,1
declaration 86662,0
declaration 86664,1
declaration 86668,1
declaration 86672,1
declaration 86677,1
declaration 86681,1
declaration 86685,1
declaration 86689,1
declaration 86693,1
declaration 90824,1
declaration 93588,1
declaration 91295,1
declaration 89290,1
declaration 93592,1
declaration 89421,1
declaration 88710,1
declaration 93602,1
declaration 89393,1
declaration 89397,1
declaration 88822,1
declaration 89425,1
declaration 94736,1
declaration 89220,1
declaration 88427,1
declaration 90090,1
declaration 94895,1
declaration 90912,1
declaration 90919,1
declaration 90923,1
declaration 88932,1
declaration 89401,1
declaration 95235,1
declaration 94740,1
declaration 92482,1
declaration 90094,0
declaration 88826,1
declaration 88830,1
declaration 88834,0
declaration 88714,1
declaration 88936,1
declaration 89453,1
declaration 94744,1
declaration 88940,1
declaration 94899,1
declaration 94903,1
declaration 92486,1
declaration 93453,1
declaration 94907,1
declaration 89338,1
declaration 89342,1
declaration 93457,0
declaration 90829,1
declaration 88944,1
declaration 89346,1
declaration 88718,1
declaration 89351,1
declaration 91299,1
declaration 94748,1
declaration 89356,1
declaration 88948,1
declaration 91303,1
declaration 88179,1
declaration 88453,1
declaration 90928,1
declaration 89247,1
declaration 88072,0
declaration 93809,1
declaration 91307,1
declaration 93461,1
declaration 88457,1
declaration 88188,1
declaration 89297,1
declaration 89301,1
declaration 88461,1
declaration 93606,1
declaration 89225,1
declaration 88722,1
declaration 89360,1
declaration 89524,1
declaration 89309,1
declaration 95239,1
declaration 89229,1
declaration 89364,1
declaration 93466,1
declaration 95243,1
declaration 90098,1
declaration 90106,1
declaration 88952,1
declaration 88192,1
declaration 88196,1
declaration 88726,0
declaration 94911,1
declaration 89692,1
declaration 89405,1
declaration 89368,1
declaration 89485,1
declaration 89372,1
declaration 90933,1
declaration 88838,1
declaration 93471,1
declaration 88842,1
declaration 89409,1
declaration 92744,1
declaration 89233,1
declaration 89376,1
declaration 91603,1
declaration 88956,1
declaration 88465,1
declaration 88846,1
declaration 90833,1
declaration 89380,1
declaration 93992,1
declaration 95247,1
declaration 95251,1
declaration 89251,1
declaration 88469,1
declaration 88960,1
declaration 88730,1
declaration 90110,1
declaration 88076,1
declaration 88200,1
declaration 93476,1
declaration 88204,1
declaration 94916,1
declaration 88734,1
declaration 88964,1
declaration 92490,1
declaration 88850,1
declaration 89237,1
declaration 88855,1
declaration 88080,1
declaration 94000,1
declaration 88969,1
declaration 91312,1
declaration 88208,1
declaration 94004,1
declaration 93813,1
declaration 91316,1
declaration 90114,1
declaration 93480,1
declaration 90938,1
declaration 89413,1
declaration 95255,1
declaration 94920,1
declaration 89259,1
declaration 89384,1
declaration 88738,1
declaration 90942,1
declaration 95259,1
declaration 87913,1
declaration 94008,1
declaration 88973,1
declaration 89313,1
declaration 88742,1
declaration 95263,1
declaration 89263,1
declaration 89490,1
declaration 94924,1
declaration 95267,1
declaration 92494,1
declaration 95271,1
declaration 89494,1
declaration 89389,1
declaration 89242,1
declaration 88977,1
declaration 90837,1
declaration 88473,1
declaration 88982,1
declaration 100197,1
declaration 88859,1
declaration 93485,1
declaration 95275,1
declaration 92498,1
declaration 94928,1
declaration 91054,1
declaration 95376,1
declaration 88098,1
declaration 88863,1
declaration 92838,1
declaration 88746,1
declaration 89433,1
declaration 89697,1
declaration 93489,1
declaration 88102,1
declaration 88987,1
declaration 89501,1
declaration 94752,1
declaration 89505,1
declaration 89509,1
declaration 94757,1
declaration 89318,1
declaration 93817,1
declaration 89091,1
declaration 92748,1
declaration 92752,1
declaration 89095,1
declaration 88898,1
declaration 88903,1
declaration 89267,1
declaration 89271,1
declaration 90883,1
declaration 88212,1
declaration 87917,0
declaration 89275,0
declaration 92502,1
declaration 89437,1
declaration 89441,1
declaration 95380,1
declaration 89417,1
declaration 92506,1
declaration 93493,1
declaration 89457,1
declaration 89532,1
declaration 89539,1
declaration 94933,1
declaration 88482,1
declaration 91324,1
declaration 88907,1
declaration 91607,1
declaration 89445,1
declaration 91612,1
declaration 88109,1
declaration 88114,1
declaration 88911,1
declaration 88915,1
declaration 89322,1
declaration 93829,1
declaration 91058,1
declaration 90118,1
declaration 95783,1
declaration 89573,1
declaration 89543,1
declaration 93562,1
declaration 89326,1
declaration 89577,1
declaration 91062,1
declaration 92842,1
declaration 95788,1
declaration 89449,1
declaration 92510,1
declaration 88573,1
declaration 89330,1
declaration 92517,1
declaration 93566,1
declaration 89514,1
declaration 89519,1
declaration 88919,1
declaration 89461,1
declaration 93825,1
declaration 92756,1
declaration 92760,1
declaration 89581,1
declaration 88578,1
declaration 90879,1
declaration 89548,1
declaration 86897,1
declaration 86564,1
declaration 88119,1
declaration 89279,1
declaration 88991,1
declaration 93610,1
declaration 89701,1
declaration 89585,1
declaration 90887,1
declaration 89706,1
declaration 88582,1
declaration 93614,1
declaration 89731,1
declaration 89815,1
declaration 89334,1
declaration 89466,1
declaration 88923,1
declaration 90892,1
declaration 86892,1
declaration 92764,1
declaration 86901,1
declaration 94368,1
declaration 89589,1
declaration 94870,1
declaration 91066,0
declaration 93619,1
declaration 93833,1
declaration 92846,1
declaration 88445,1
declaration 89100,1
declaration 89552,1
declaration 93571,1
declaration 88123,1
declaration 94012,1
declaration 89593,1
declaration 89598,1
declaration 93838,1
declaration 87921,1
declaration 91068,1
declaration 89711,1
declaration 87925,1
declaration 93624,1
declaration 87930,1
declaration 94017,1
declaration 92521,1
declaration 88587,1
declaration 94874,1
declaration 89470,1
declaration 95047,1
declaration 89602,1
declaration 92525,1
declaration 89286,1
declaration 91080,1
declaration 95052,1
declaration 89475,1
declaration 89557,1
declaration 89480,1
declaration 88996,1
declaration 86912,1
declaration 91076,1
declaration 91084,1
declaration 91328,1
declaration 91617,1
declaration 93575,1
declaration 92851,1
declaration 89565,1
declaration 92808,1
declaration 95384,1
declaration 95388,1
declaration 95393,1
declaration 89620,1
declaration 90246,1
declaration 92856,1
declaration 92860,1
declaration 88591,1
declaration 89569,1
declaration 91089,1
declaration 91094,1
declaration 89606,1
declaration 93645,1
declaration 89662,1
declaration 91459,1
declaration 89611,1
declaration 95397,1
declaration 89667,1
declaration 89643,1
declaration 89647,1
declaration 89671,1
declaration 89625,1
declaration 95402,1
declaration 89676,1
declaration 93843,1
declaration 89616,1
declaration 94372,1
declaration 94114,1
declaration 92609,1
declaration 86916,1
declaration 92613,1
declaration 95406,1
declaration 89630,1
declaration 89652,1
declaration 91098,1
declaration 89000,1
declaration 88928,1
declaration 94879,1
declaration 86920,1
declaration 91102,1
declaration 89657,1
declaration 92813,1
declaration 89680,1
declaration 91622,1
declaration 89004,1
declaration 89684,1
declaration 89635,1
declaration 95907,1
declaration 94883,1
declaration 89639,1
declaration 89108,1
declaration 89688,1
declaration 89850,1
declaration 86924,1
declaration 86928,1
declaration 94376,1
declaration 93946,1
declaration 88128,1
declaration 92865,1
declaration 92618,1
declaration 92870,1
declaration 88034,1
declaration 93580,1
declaration 86933,0
declaration 91106,1
declaration 89719,1
declaration 91110,1
declaration 89791,1
declaration 92874,1
declaration 89715,1
declaration 95792,1
declaration 89736,1
declaration 92817,1
declaration 90250,1
declaration 91217,1
declaration 89744,1
declaration 95513,1
declaration 89796,1
declaration 89801,1
declaration 94887,1
declaration 89112,1
declaration 89723,1
declaration 95518,1
declaration 89727,1
declaration 94118,1
declaration 91464,1
declaration 86935,1
declaration 89748,1
declaration 88094,1
declaration 89122,1
declaration 89752,1
declaration 94079,1
declaration 92822,1
declaration 94083,1
declaration 95057,1
declaration 92826,1
declaration 93951,1
declaration 86939,1
declaration 92830,1
declaration 95062,1
declaration 89820,0
declaration 92622,1
declaration 89822,1
declaration 91221,1
declaration 94891,1
declaration 89757,1
declaration 89762,0
declaration 93584,1
declaration 95523,1
declaration 89009,1
declaration 94087,1
declaration 86952,1
declaration 86959,1
declaration 95012,1
declaration 89764,1
declaration 89826,1
declaration 89768,1
declaration 89830,0
declaration 88595,0
declaration 89805,1
declaration 89810,1
declaration 86964,1
declaration 89773,1
declaration 89932,1
declaration 89778,1
declaration 89939,1
declaration 89835,1
declaration 93650,1
declaration 95912,1
declaration 89740,1
declaration 95017,1
declaration 89783,1
declaration 94380,1
declaration 93955,1
declaration 89013,1
declaration 95527,1
declaration 89944,1
declaration 91225,1
declaration 94384,1
declaration 91232,1
declaration 89840,1
declaration 95021,1
declaration 89948,1
declaration 95531,1
declaration 95066,1
declaration 88133,1
declaration 89854,1
declaration 89844,1
declaration 89848,0
declaration 89858,1
declaration 93629,1
declaration 89968,1
declaration 93658,1
declaration 92631,1
declaration 95025,1
declaration 94389,1
declaration 92834,1
declaration 93662,1
declaration 88600,1
declaration 89862,1
declaration 90896,1
declaration 89952,1
declaration 89973,0
declaration 94091,1
declaration 89870,1
declaration 89957,1
declaration 94393,1
declaration 92879,1
declaration 87935,1
declaration 95029,1
declaration 93666,1
declaration 90254,1
declaration 89874,1
declaration 93633,1
declaration 89787,1
declaration 89961,1
declaration 88137,1
declaration 95535,0
declaration 92899,1
declaration 96103,1
declaration 93671,1
declaration 90258,1
declaration 89878,1
declaration 89891,1
declaration 90270,1
declaration 87939,1
declaration 90278,1
declaration 95537,1
declaration 95542,1
declaration 90282,1
declaration 89978,1
declaration 95034,1
declaration 90900,1
declaration 90286,1
declaration 91468,1
declaration 91236,1
declaration 94096,1
declaration 90413,1
declaration 93959,1
declaration 94402,1
declaration 93676,1
declaration 89882,1
declaration 89982,1
declaration 89895,1
declaration 89987,1
declaration 95038,1
declaration 90904,1
declaration 89887,0
declaration 90122,1
declaration 92635,1
declaration 90417,1
declaration 91240,1
declaration 94397,1
declaration 95899,1
declaration 90126,1
declaration 95042,1
declaration 89056,1
declaration 90425,1
declaration 90908,1
declaration 93654,1
declaration 95070,1
declaration 89899,1
declaration 92639,1
declaration 89991,1
declaration 90429,1
declaration 95547,1
declaration 95075,1
declaration 92643,1
declaration 95551,1
declaration 89903,1
declaration 90433,1
declaration 89060,1
declaration 92904,1
declaration 89064,1
declaration 95555,1
declaration 90130,1
declaration 89907,1
declaration 89995,1
declaration 86968,1
declaration 93146,1
declaration 88237,1
declaration 94122,1
declaration 89999,1
declaration 90134,1
declaration 90004,1
declaration 95678,1
declaration 90139,1
declaration 91245,1
declaration 89911,1
declaration 88431,1
declaration 90144,1
declaration 90148,1
declaration 93150,1
declaration 89126,1
declaration 88241,1
declaration 92909,1
declaration 89131,1
declaration 93964,1
declaration 90152,1
declaration 88245,1
declaration 90008,1
declaration 88249,1
declaration 92914,1
declaration 89915,1
declaration 93680,1
declaration 92919,1
declaration 89920,1
declaration 88141,1
declaration 90021,1
declaration 90025,1
declaration 91567,1
declaration 95174,1
declaration 88436,1
declaration 88254,1
declaration 89924,1
declaration 88146,1
declaration 89068,1
declaration 87581,1
declaration 91358,1
declaration 86972,1
declaration 94127,1
declaration 90029,1
declaration 93685,1
declaration 90040,1
declaration 90157,1
declaration 88258,1
declaration 94101,1
declaration 92884,1
declaration 91363,1
declaration 95178,1
declaration 93154,1
declaration 88262,1
declaration 89136,0
declaration 88150,0
declaration 89072,0
declaration 90044,1
declaration 86976,1
declaration 86981,1
declaration 91371,1
declaration 89138,1
declaration 93159,1
declaration 89074,1
declaration 91375,1
declaration 89928,1
declaration 91572,1
declaration 88152,1
declaration 88157,1
declaration 90161,1
declaration 93166,1
declaration 88386,1
declaration 93637,1
declaration 91379,1
declaration 95182,0
declaration 89078,1
declaration 93973,1
declaration 90166,1
declaration 95916,1
declaration 93736,1
declaration 89142,1
declaration 89082,1
declaration 88391,1
declaration 95184,1
declaration 87947,1
declaration 89086,1
declaration 95188,1
declaration 90052,1
declaration 90290,0
declaration 88396,1
declaration 86990,1
declaration 93740,1
declaration 94105,1
declaration 86994,1
declaration 95141,1
declaration 88401,1
declaration 93745,1
declaration 88409,1
declaration 86998,0
declaration 90297,1
declaration 93750,1
declaration 90301,1
declaration 91384,0
declaration 95683,1
declaration 90056,1
declaration 87005,1
declaration 90306,0
declaration 90060,1
declaration 90308,1
declaration 88440,1
declaration 95192,1
declaration 89182,1
declaration 93767,1
declaration 92700,1
declaration 90175,1
declaration 90312,1
declaration 90065,1
declaration 90317,1
declaration 90069,1
declaration 95149,1
declaration 90074,1
declaration 93774,1
declaration 87050,1
declaration 93171,1
declaration 88413,1
declaration 90179,1
declaration 90078,1
declaration 87585,1
declaration 89186,1
declaration 95687,1
declaration 89190,1
declaration 94110,0
declaration 93982,1
declaration 89195,1
declaration 90082,1
declaration 88547,1
declaration 94131,1
declaration 93778,1
declaration 87054,0
declaration 95691,1
declaration 89199,1
declaration 91577,1
declaration 95695,1
declaration 93175,1
declaration 88418,1
declaration 91392,1
declaration 93641,1
declaration 88162,1
declaration 90184,1
declaration 88422,1
