case_id,outcome
A1,Other
A100,Other
A10000,Repaid
A10001,Repaid
A10004,Other
A10005,Repaid
A10007,Repaid
A10008,Other
A10009,Repaid
A1001,Other
A10010,Other
A10011,Other
A10012,Other
A10015,Other
A10018,Repaid
A10019,Other
A1002,Other
A10021,Other
A10022,Repaid
A10023,Other
A10024,Repaid
A10025,Other
A10026,Other
A10029,Repaid
A10030,Repaid
A10033,Repaid
A10034,Other
A10041,Other
A10042,Repaid
A10043,Repaid
A10044,Other
A10045,Other
A10046,Other
A10047,Repaid
A10049,Repaid
A10050,Other
A10054,Other
A10056,Repaid
A10059,Repaid
A1006,Repaid
A10060,Repaid
A10061,Repaid
A10063,Other
A10067,Other
A10068,Other
A10069,Repaid
A1007,Repaid
A10071,Other
A10072,Other
A10074,Other
A10075,Other
A10076,Repaid
A10077,Other
A10078,Repaid
A10079,Other
A1008,Other
A10082,Repaid
A10083,Other
A10085,Repaid
A10089,Repaid
A1009,Other
A10090,Other
A10091,Repaid
A10092,Repaid
A10095,Other
A10097,Repaid
A10099,Repaid
A101,Other
A10101,Other
A10102,Repaid
A10104,Repaid
A10106,Other
A10107,Repaid
A10108,Repaid
A10109,Other
A10112,Repaid
A10113,Repaid
A10115,Other
A10117,Other
A10118,Other
A10119,Other
A10120,Repaid
A10121,Other
A10122,Repaid
A10124,Repaid
A10125,Repaid
A10126,Other
A10127,Other
A1013,Other
A10130,Repaid
A10131,Other
A10137,Repaid
A10138,Other
A10139,Other
A1014,Other
A10140,Other
A10141,Other
A10143,Repaid
A10144,Repaid
A10147,Other
A10150,Repaid
A10151,Other
A10152,Other
A10153,Other
A10154,Other
A10156,Repaid
A10157,Repaid
A10158,Repaid
A10159,Repaid
A1016,Other
A10161,Repaid
A10162,Repaid
A10163,Other
A10164,Other
A10165,Repaid
A10168,Other
A1017,Other
A10171,Other
A10174,Other
A10175,Repaid
A10177,Other
A10178,Other
A10180,Other
A10181,Repaid
A10184,Other
A10185,Other
A10186,Repaid
A10187,Other
A10188,Other
A10189,Repaid
A10192,Other
A10193,Other
A10194,Repaid
A10195,Repaid
A10196,Other
A102,Other
A10203,Repaid
A10205,Other
A10206,Repaid
A10211,Other
A10212,Other
A10213,Other
A10215,Repaid
A10216,Other
A10218,Other
A10220,Other
A10221,Repaid
A10223,Other
A10224,Other
A10226,Other
A10228,Other
A10229,Repaid
A10230,Repaid
A10231,Other
A10234,Repaid
A10235,Repaid
A10236,Repaid
A10237,Repaid
A10238,Other
A10242,Other
A10243,Repaid
A10245,Other
A10247,Other
A10249,Repaid
A10250,Repaid
A10251,Other
